Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-A4_1_12071.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-B4_1_12072.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-C4_1_12073.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-D4_1_12074.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-E4_1_12075.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-F4_1_12076.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-G4_1_12077.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_50pg_S1-H4_1_12078.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-A8_1_12079.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-B8_1_12080.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-C8_1_12081.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-D8_1_12082.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-E8_1_12083.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-F8_1_12084.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-G8_1_12085.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_50pg_S1-H8_1_12086.d
P0A8F0	UPP_ECOLI	upp	Uracil phosphoribosyltransferase	3	3	832.82		901.303	1326.55	1585.89	1523.92		1244.48	5073.44	5442.56	5821.8	4868.99	4879.41	5501.54	5063.14	4829.07
P0A8G6	NQOR_ECOLI	wrbA	NAD(P)H dehydrogenase (quinone)	4	4	461.563	737.785	986.051	649.571		843.539	782.363		1901.17	2035.32	2278.56	1730.22	1735.34	1468.31	2072.36	1892.45
P0A8I3	YAAA_ECOLI	yaaA	DNA-binding and peroxide stress resistance protein YaaA	1	1									1354.13	599.642	1073.67	1089.83		1297.33	1614.62	1078.64
P0A8J4	YBED_ECOLI	ybeD	UPF0250 protein YbeD	3	3		1213.96			1688.3		994.81	629.822	2206.75	1904	2607.19	2199.72	1962.17	2282.89	1837.09	1906.01
P0A8J8	RHLB_ECOLI	rhlB	ATP-dependent RNA helicase RhlB	2	2	355.012								638.076	757.462	744.464	554.677	543.159	798.945	733.529	648.634
P0A8K1	PSD_ECOLI	psd	Phosphatidylserine decarboxylase proenzyme	1	1		888.793				815.171	395.351	533.46	1388.81	821.475		1519.33	1186.16		1166.96	1266.03
P0A8K5	YAEP_ECOLI	yaeP	UPF0253 protein YaeP	3	3	1636.46		1743.85	1588.74	1045.15	2553.66	2274.75	1679.25	6719.77	7656.68	7221.19	7805.75	5896.4	6477.61	6684.98	6540.78
P0A8L1	SYS_ECOLI	serS	Serine--tRNA ligase	3	3		875.538				807.297	739.946		998.531	1309.75	1344.73	829.963	1808.82	1152.63	1266.26	1093.35
P0A8M6	TMAR_ECOLI	tmaR	Pole-localizer protein TmaR	2	2	1666.62	1209.39		1294.6					6020.97	4731.7	3382.46	5339.23	6827.42	5084.9	5000.74	5268.29
P0A8N0	MATP_ECOLI	matP	Macrodomain Ter protein	1	1									1630.69	1786.13	2041.56	1620.21	1251.09	2125.38	1936	1872.61
P0A8N5	SYK2_ECOLI	lysU	Lysine--tRNA ligase, heat inducible	6	4	1358.84	755.079	1071.34	1109.15	794.362	766.663	1209.29	1012.99	2693.02	2879.78	3116.9	3034.77	2986.76	2961.43	2966.06	3162.93
P0A8P3	FETP_ECOLI	yggX	Probable Fe(2+)-trafficking protein	4	4	3349.13	3541.81	3166.77	4099.23	3521.56	3648.35	3128.92	2013.68	8682.52	7663.73	8379.8	7733.87	8334.71	10013.1	8278.13	8985.72
P0A8T7	RPOC_ECOLI	rpoC	DNA-directed RNA polymerase subunit beta'	6	6									1586.39	1682.33	1193.66	1555.55	1155.92	1598.63	1609.89	1291.64
P0A8V2	RPOB_ECOLI	rpoB	DNA-directed RNA polymerase subunit beta	6	6						753.4			1132.11	1194.18	1108.13	1055.18	1036.07	1194.37	1087.18	922.745
P0A8W2	SLYA_ECOLI	slyA	Transcriptional regulator SlyA	2	2	479.071								766.426	936.323	930.496	888.038	613.133	923.452	890.822	693.553
P0A8X0	DARP_ECOLI	darP	Dual-action ribosomal maturation protein DarP	1	1		340.661							903.916	681.484	990.127	577.098	797.36	536.16	447.967	500.435
P0A8X2	YCEI_ECOLI	yceI	Protein YceI	2	2									1929.99	1997.29	2162.08	1820.45	1824.57	1684.43	1817.96	2390.74
P0A8Y5	YIDA_ECOLI	yidA	Sugar phosphatase YidA	1	1									1898.4	1081.9		1248.45		1325.15	1134.65	
P0A903	BAMC_ECOLI	bamC	Outer membrane protein assembly factor BamC	1	1							608.069				690.232	1118.24	1016.47	1141.95	1021.81	
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	2	2	892.301								881.02	1026.14	799.438	1112.7	956.325	972.373	1288.32	691.142
P0A910	OMPA_ECOLI	ompA	Outer membrane protein A	4	4	978.084	1068.55	800.824		810.303	1107.87		1077.54	2222.52	2071.48	2296.94	1827.53	2968.6	2619.11	1955.35	2210.81
P0A912	PAL_ECOLI	pal	Peptidoglycan-associated lipoprotein	4	4	962.917		1268.32	957.275	1124.22	1067.61	977.977	848.734	3097.58	2414.61	2884.8	2872.58	3130.52	2877.44	2564.78	3538.21
P0A940	BAMA_ECOLI	bamA	Outer membrane protein assembly factor BamA	2	2								280.894				586.145	599.335	356.392	380.995	552.63
P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	8	8	1266.41	917.877	1288.02	1037.54	1178.03	1431.06	1415.7	1501.07	3773.09	4766.74	4516.64	4531.63	3789.16	4025.95	4561.79	4230.98
P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	7	6	686.65	1246.83	830.429	914.801	611.978	903.095	1173.74	1154.81	2446.53	2474.95	2969.63	2601.48	2610.02	2552.84	2410.07	2513.93
P0A962	ASPG1_ECOLI	ansA	L-asparaginase 1	1	1										168.935		712.976	320.785			
P0A968	CSPD_ECOLI	cspD	Cold shock-like protein CspD	1	1									1739.12	1258.79	1807.01	1412.76		1421.72	1456.64	671.634
P0A991	ALF1_ECOLI	fbaB	Fructose-bisphosphate aldolase class 1	1	1										447.998		792.922		989.863		803.543
P0A998	FTNA_ECOLI	ftnA	Bacterial non-heme ferritin	3	3	3803.74	4515.31	3563.76	4491.03	4368.38	3986.06	4704.27	3839.41	14800.3	14333.4	14139.5	16010.6	13627.6	14526	13584	15296.8
P0A9A6	FTSZ_ECOLI	ftsZ	Cell division protein FtsZ	9	9	1880.36	1468.84	1842.62	1988.06	1880.62	1777.9	1293.61	1931.85	5199.42	4695.36	5644.24	4601.06	5032.55	4769.8	4605.26	4785.87
P0A9A9	FUR_ECOLI	fur	Ferric uptake regulation protein	3	3		695.983	629.285			908.818			2205.35	2301.95	1449.65	1795.13	1999.38	2095.76	1856.9	1724.57
P0A9B2	G3P1_ECOLI	gapA	Glyceraldehyde-3-phosphate dehydrogenase A	15	14	15642.2	14941.6	14700.9	15492.6	14348.3	15069.2	16060.5	14571.8	56835.9	54666.9	53317.8	57544.4	56797.8	54564.5	53481.1	52487.7
P0A9C5	GLN1B_ECOLI	glnA	Glutamine synthetase	5	5				1181.4	1617.4	1381.73		847.26	4081.32	3188.24	3719.21	3765.02	3554.57	4209.07	4088.71	3509.47
P0A9D2	GSTA_ECOLI	gstA	Glutathione S-transferase GstA	2	2										1322.69	1202.04	1037.03	855.937	951.864	952.331	
P0A9D8	DAPD_ECOLI	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	6	6	537.428	688.519	667.016		634.136	684.826	501.858	882.629	2039.24	1773.94	2182.69	1718.06	1970.64	1807.74	1871.95	2043.08
P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	1	1									643.3	664.997	1003.99	623.618	691.327	519.599	735.557	467.527
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	2	2									931.851	927.583	795.283	681.391	703.457	591.117	802.062	526.284
P0A9K3	PHOL_ECOLI	ybeZ	PhoH-like protein	3	3			504.638	531.719		443.735			945.131	1060.2	1232.71	1160.29	735.674	897.257	704.265	946.519
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	3	3	3547.71	3470.45	4061.76	4336.27	4798.34	3785.5	5137.13	3560.62	13892.2	13618.2	15499.2	12960.9	15158.6	13907.5	14223.1	14597.2
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	6	6	571.407	590.328	511.799			768.819	714.709		1489.69	1555.96	1733.71	1512.65	2047.36	1581.28	1730.73	1535.28
P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	2	2									1255.86	1311.3	1365.17	1606.14	1148.22	1180.44	1182.98	1281.7
P0A9L8	P5CR_ECOLI	proC	Pyrroline-5-carboxylate reductase	4	4				594.651					1364.41	2018.32	1586.88	2072.57	2135.83	1630.74	1418.32	1506.17
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	1	1	1470.78	1323.12	1555.22			2209.04	1262.67	1593.12	6129.89	5033.82	5583.61	5410.12	5897.34	5347.56	5386.88	6187.98
P0A9M8	PTA_ECOLI	pta	Phosphate acetyltransferase	4	4			596.686	333.593			487.822		888.306	755.274	997.248	650.588	803.826	903.931	793.818	949.807
P0A9P0	DLDH_ECOLI	lpdA	Dihydrolipoyl dehydrogenase	17	17	10141.8	11006.3	10713.1	10945.8	10105.2	10292.4	11227.9	10116.8	36648.6	38528.4	39070.1	35633.7	35683.9	38225.9	35981.2	34894.4
P0A9P4	TRXB_ECOLI	trxB	Thioredoxin reductase	5	5			576.261	285.781	592.992	683.101			1182.2	1286.46	838.745	1015.9	1037.45	1112.02	1033.15	1004.13
P0A9P6	DEAD_ECOLI	deaD	ATP-dependent RNA helicase DeaD	2	2									726.926	550.735	1039.59		995.727	706.889	571.393	770.016
P0A9Q1	ARCA_ECOLI	arcA	Aerobic respiration control protein ArcA	7	7	1274.23	1136.12	1424.56	1174.67	1338.33			1362.34	3287.43	3729.69	3563.27	3264.45	3468.42	3560.77	3530.62	3333.1
P0A9Q5	ACCD_ECOLI	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	5	5		382.76	650.208		518.18				1312.46	1131.47	1218.17	1165.86	1252.25	1372.69	1389.73	1072.21
P0A9Q7	ADHE_ECOLI	adhE	Bifunctional aldehyde-alcohol dehydrogenase AdhE	4	4						1111.98			909.346	1098.65	1073.04	1226.97	992.246	1180.94	1232.74	894.718
P0A9R4	FER_ECOLI	fdx	2Fe-2S ferredoxin	3	3			434.178	410.217	406.033		645.531	576.212	1171.21	1115.68	1052.12	1164.82	759.104	947.781	1094.47	970.875
P0A9S3	GATD_ECOLI	gatD	Galactitol 1-phosphate 5-dehydrogenase	9	9	2325.59	1855.61	2392.7	2265.19	2526.04	2215.36	2265.88	2387.27	6637.59	6667.48	7050.02	6483.06	6522.96	6899.99	6943.89	6687.71
P0A9S5	GLDA_ECOLI	gldA	Glycerol dehydrogenase	1	1										1561.71		1628.15	1674.37	2113.31	1654.86	1053.36
P0A9W3	ETTA_ECOLI	ettA	Energy-dependent translational throttle protein EttA	3	3			1349.17	1043.02	1308.1			1089.19	3387.14	3346.44	3637.93	3024.58	3420.59	3927.48	3625.28	3081.02
P0A9W9	YRDA_ECOLI	yrdA	Protein YrdA	3	3	885.975			512.537	639.085		674.402	489.027	1340.66	1199.5	1071.13	1427.53	1131.02	1338.22	1713.13	1270.17
P0A9X4	MREB_ECOLI	mreB	Cell shape-determining protein MreB	3	3	762.724	927.613	769.295		907.389		866.616		2331.9	1892.94	3500.51	2107.2	2487.45	2185	2288.3	2852.23
P0A9X9	CSPA_ECOLI	cspA	Cold shock protein CspA	3	2	787.5			880.144		857.546		763.224	1800.74	1333.68	1237.93	1528.99	2054.64	1264.85	1603.2	1380.2
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	3	3	5467.87	5256.74	4492.56	6438	6428.23	5835.27	5517.93	5256.21	25456.4	24515.6	23995.2	21191.2	25896.6	24014.2	22705.3	24199.7
P0A9Z1	GLNB_ECOLI	glnB	Nitrogen regulatory protein P-II 1	3	3				542.555					1739.16	2042.11	2436.85	2037.08	2199.6	1853.63	1828.2	1823.97
P0AA04	PTHP_ECOLI	ptsH	Phosphocarrier protein HPr	3	3	5006.11	5261.7	5279.87	4878.01	4863.47	4237.8	4998.2	4477.11	23339.9	22335.7	22410.9	23477.7	24125.8	23600.9	23610.5	22702
P0AA10	RL13_ECOLI	rplM	Large ribosomal subunit protein uL13	6	6	2224.44	2277.14	2644.35	2235.7	2240.89	2184.07	2446.88	2094.29	7711.29	7124.85	7843.13	7660.63	7328.74	7636.68	7613.58	6924.73
P0AA16	OMPR_ECOLI	ompR	DNA-binding dual transcriptional regulator OmpR	3	3		949.581					756.707	755.461	1224.48	1168.95	1602	1086.8	1328.23	1307.16	1441.04	1101.07
P0AA25	THIO_ECOLI	trxA	Thioredoxin 1	4	4	3218.13	4129.94	3229.04	3185.95	3091.69	3283.19	2984.27	3354.76	9169.5	8909.86	10393.7	8976.23	9194.97	9269.82	9409.36	9982.91
P0AA57	YOBA_ECOLI	yobA	Copper-binding protein YobA	1	1												1451.42		710.926		
P0AAB8	USPD_ECOLI	uspD	Universal stress protein D	2	2	2110.7		1010.01	2164.45	1679.78	1488.61	1026.46	1293.97	4504.1	3836.5	4354.28	4321	4313.69	4518.55	4920.67	4027.76
P0AAC8	ISCA_ECOLI	iscA	Iron-binding protein IscA	2	2			902.294		720.91				1034.93	910.321	953.933	865.367	1227.48	767.147	852.51	952.728
P0AAI3	FTSH_ECOLI	ftsH	ATP-dependent zinc metalloprotease FtsH	2	2									1079.57	1150.62	1008.98	1121.9	946.399	657.283	1063.16	1014.9
P0AAI5	FABF_ECOLI	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	6	6	1305.8		909.666	772.13	1070.97	1235.98	1079.65	832.445	3390.6	3332.05	3008.09	3599.32	2913.69	2954.28	3157.11	2952.95
P0AAI9	FABD_ECOLI	fabD	Malonyl CoA-acyl carrier protein transacylase	2	2		1349.56	1030.04	845.029		898.223		548.236	2711.78	3003.1	2585.16	3664.93	2794.48	3109.08	2945.54	2910.7
P0AAQ2	YAJD_ECOLI	yajD	Putative HNH nuclease YajD	1	1								333.859			843.568	639.908	659.023			
P0AAR3	YBAK_ECOLI	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	2	2									1762.33		1905.07	1308.93	567.316	1203.16	1442.2	1044.06
P0AAT6	IOJAP_ECOLI	rsfS	Ribosomal silencing factor RsfS	2	2			766.235		616.228				1296.02	1417.9	1317.59	1237.91	1449.61	1209.74	1955.61	1431.28
P0AAT9	YBEL_ECOLI	ybeL	Uncharacterized protein YbeL	6	6	1553.45	1372.91	1413.15	1279.02		1407.03	1412.33		3182.17	3428.13	3437	3627.08	3536.79	3418.95	3779.21	3658.75
P0AAV6	YBGS_ECOLI	ybgS	Uncharacterized protein YbgS	2	2									1204.28	891.893	1259.85	1378.58	983.036	947.595	1350.44	1262.08
P0AB14	YCCJ_ECOLI	yccJ	Uncharacterized protein YccJ	2	2	685.096			1057.59					2470.08	2330.99	2201.67	2447.91	2454.59	2508.28	2004.28	2615.42
P0AB43	YCGL_ECOLI	ycgL	Protein YcgL	1	1		252.365							680.326	477.096	469.471	456.803	944.579	544.988	723.994	818.981
P0AB55	YCII_ECOLI	yciI	Protein YciI	2	2		469.878	508.257			534.472			1448.92	1477.85	1297.9	1807.05	1432.76	1125.44	1403.5	1485.34
P0AB61	YCIN_ECOLI	yciN	Protein YciN	2	2									844.244	899.653	876.537	675.823	844.032	832.905	714.148	898.645
P0AB71	ALF_ECOLI	fbaA	Fructose-bisphosphate aldolase class 2	10	10	9930.15	8804.93	8871.79	8601.22	7706.08	7782.44	7457.67	7905.05	28339.9	27576.8	31195.4	27549.7	27224	29354.8	27545.1	27219.8
P0AB77	KBL_ECOLI	kbl	2-amino-3-ketobutyrate coenzyme A ligase	5	5		1918.31					1389.76		3902.31	4097.11	4736.79	4624.46	4227.96	4544.16	4629.63	4116.87
P0ABA0	ATPF_ECOLI	atpF	ATP synthase subunit b	4	4		892.713	875.128		564.776				1656.8	1546.86	1640.64	1697.05	1344.15	1683.07	1350.34	1655.87
P0ABA4	ATPD_ECOLI	atpH	ATP synthase subunit delta	5	5	1202.96	1138.88	1255.62	1353.57		1261.87		800.422	2712.83	3710.45	3856.62	3226.59	3945.85	3610.16	3639.43	3687.82
P0ABA6	ATPG_ECOLI	atpG	ATP synthase gamma chain	7	7	880.681		829.678	954.736	828.628		545.409	1062.91	1936.06	1752.29	2335.39	1601.08	1756.49	1758.99	1939.37	1721.25
P0ABB0	ATPA_ECOLI	atpA	ATP synthase subunit alpha	13	13	1620.28	1708.21	1521.67	1458.23	1150.58	1297.82	1314.21		3899.79	4261.28	3740.55	3945.66	4016.62	3917.34	3993.32	3727.14
P0ABB4	ATPB_ECOLI	atpD	ATP synthase subunit beta	10	10	1970.22	1572.36	2084.06	1732.33	1254.98	1960.34	2111.66	1366.52	5528.93	5446.03	4969.55	5231.07	6072.38	5237.1	5408.02	4988.25
P0ABD5	ACCA_ECOLI	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	7	7		3065.25		3294.75	1990.04	2816.59		3519.14	6600.22	5589.8	6784.9	7214.85	6273.13	6119.18	7165.83	5882.36
P0ABD8	BCCP_ECOLI	accB	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	2	2	1064.32	922.474	1156.94	841.42		946.042	1090.37	1247.55	3434.78	2952.01	2629.62	2730.04	3759.58	3509.85	3256.24	2940.07
P0ABH0	FTSA_ECOLI	ftsA	Cell division protein FtsA	1	1									1216.69	768.471	1191.02	687.539	651.075	956.434	900.247	
P0ABH7	CISY_ECOLI	gltA	Citrate synthase	5	5	1125.8			1065.66	1088.78	1196.33	1160.06	726.828	2857.02	2931.61	2669.39	2595.88	3014.98	2937.27	3077.15	2562.16
P0ABH9	CLPA_ECOLI	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	1	1									1224.74	1759.76	1573.59	2011.67	1859.72	1488	1249.49	1568.82
P0ABJ9	CYDA_ECOLI	cydA	Cytochrome bd-I ubiquinol oxidase subunit 1	6	6	3139.55	2762.02	2553.18	2719.78	2433.96	2597.8	3190.92	2495.98	7638.06	5177.56	6278.16	5394.06	6281.4	6573.83	6336.41	6772.08
P0ABK5	CYSK_ECOLI	cysK	Cysteine synthase A	15	15	7810.03	8756.13	8670.97	7965.85	8190.53	8934.62	8907.54	7756.6	24276.8	22438.7	23957.4	23696.8	24347.2	23193	24544.2	22737
P0ABP8	DEOD_ECOLI	deoD	Purine nucleoside phosphorylase DeoD-type	1	1										408.361		149.7		189.886	221.744	
P0ABQ2	GARR_ECOLI	garR	2-hydroxy-3-oxopropionate reductase	9	9	1962.91	2128.2	1660.93	1992.93	1855.98	1731.73	1926.36	1250.58	4096.11	4463.09	3929.09	4975.08	4721.23	4519.92	4459.66	4017.76
P0ABS1	DKSA_ECOLI	dksA	RNA polymerase-binding transcription factor DksA	3	3		2378.88	1629.59	2088.05		2365	2103.63	1958.81	9288.81	7752.69	10962.6	10327.2	10819.5	10511.7	9678.71	10447.5
P0ABT2	DPS_ECOLI	dps	DNA protection during starvation protein	8	8			1179.47	1330.74	1318.39	1439.5	1151.16	1100.91	2317	2453.2	2402.29	2165.86	2157.68	1757.76	2427.32	2331.67
P0ABU0	MENB_ECOLI	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase	1	1									2068.51	1552.95	2264.36	1808.14	1622.62	990.027	1560.01	1356.09
P0ABU2	YCHF_ECOLI	ychF	Ribosome-binding ATPase YchF	8	8	619.11				747.936			564.802	1530.76	1348.2	1480.32	1323.4	1778.72	1412.36	1540.96	1668.97
P0ABU5	ELBB_ECOLI	elbB	Glyoxalase ElbB	3	3	1426.31			1238.03	1183.84	1657.31			2802.42	3352.49	3424.21	4338.58	3640.77	3679.79	3585.55	3068.04
P0ABZ6	SURA_ECOLI	surA	Chaperone SurA	7	7	842.842		794.386			646.328	972.27	549.397	1428.41	1434.13	1732.68	1616.93	1459.76	1432.45	1701.4	1558.33
P0AC33	FUMA_ECOLI	fumA	Fumarate hydratase class I, aerobic	3	2					309.301				1938.07	1829.49	1909.49	2012.49	1866.16	2098.09	1964.87	1855.87
P0AC38	ASPA_ECOLI	aspA	Aspartate ammonia-lyase	9	9							3020.57	4281.27	9868.16	8909.4	11678	9528.18	8434.88	8625.87	8132.68	8831.54
P0AC41	SDHA_ECOLI	sdhA	Succinate dehydrogenase flavoprotein subunit	9	9		1367.67		1736.33	1093.7			1440.95	2230.26	2164.08	1973.13	2186.56	1916.33	2253.09	2152.26	1719.75
P0AC59	GLRX2_ECOLI	grxB	Glutaredoxin 2	9	9	3408.32	2983.31	2993.89	3314.58	2985.57	2824.84	2755.81	2520.55	8331.78	8739.13	9338.5	8020.81	8147.48	8712.21	8978.65	8125.08
P0AC62	GLRX3_ECOLI	grxC	Glutaredoxin 3	3	3	1743.23	1330.66	1411.69	1635.89	1180.26	1826.75	1799.37	1676.46	4619.74	5050.79	4977.11	4331.75	5215.03	4746.61	4622.33	5501.09
P0AC69	GLRX4_ECOLI	grxD	Glutaredoxin 4	2	2	1226.28	845.749	1195.69	970.949	1286.44	1062.81	1617.44	698.183	2197.83	2167.23	2830.09	2476.03	2448.66	2253.48	1821.95	2413.3
P0AC81	LGUL_ECOLI	gloA	Lactoylglutathione lyase	3	3	590.429					740.007	637.976		1434.27	857.659	1474.04	1905.16	1788.03	1635.73	933.357	1382.76
P0AC92	GNSA_ECOLI	gnsA	Protein GnsA	2	1									806.901	954.897	1092.91	1432.82	962.043	947.453	1024.59	677.73
P0ACA3	SSPA_ECOLI	sspA	Stringent starvation protein A	2	2		669.179	637.002	897.216	1362.99	1269.38	936.151	483.648	3049.85	2396.91	3022.2	2939.72	2542	1855.47	2723.02	1818.06
P0ACA7	GSTB_ECOLI	gstB	Glutathione S-transferase GstB	1	1			564.925	927.566				681.727	1311.23	1801.7	1089.14	964.613	1235.4	1275.82	1076.51	1196.37
P0ACB2	HEM2_ECOLI	hemB	Delta-aminolevulinic acid dehydratase	5	5		715.296			678.776		562.912		1411.07	1566.9	1155.41	1544.86	1566.85	1727.43	1731.52	1429.4
P0ACC3	ERPA_ECOLI	erpA	Iron-sulfur cluster insertion protein ErpA	3	3	1807.49	1958.78	1277.97	1770.55	1242.53	1336.68	1300.83	1896.09	5741.23	5466.35	5784.73	5544.76	4443.11	5104.2	5533.47	5216.27
P0ACC7	GLMU_ECOLI	glmU	Bifunctional protein GlmU	2	2					333.533				724.387	589.608	613.379	417.548	592.212	414.127	504.791	679.771
P0ACD4	ISCU_ECOLI	iscU	Iron-sulfur cluster assembly scaffold protein IscU	2	2	465.677	474.664		692.237	814.04	717.27	831.596		1676.8	1748.74	1791.14	1946.08	1876.7	1914.71	2037.66	1865.83
P0ACE7	HINT_ECOLI	hinT	Purine nucleoside phosphoramidase	3	3	2277.79	1737.36	1237.69	1845.45	1728.51	1596.35	2166.43	1591.05	6205.76	6180.07	6740.97	6005.99	6978.2	6084.07	5893.1	5777.23
P0ACF0	DBHA_ECOLI	hupA	DNA-binding protein HU-alpha	4	4	13444	13212.2	12504.8	12651.5	14783.6	14395.9	14394.4	13108.8	45471.7	39534.4	39595.4	42728	41947.9	40161.8	41293.1	40885.6
P0ACF4	DBHB_ECOLI	hupB	DNA-binding protein HU-beta	6	6	35625.4	42967.5	31992.2	32954.2	42088.6	33630.5	32510	34202.9	130176	121728	135280	130603	138613	125405	127234	130122
P0ACF8	HNS_ECOLI	hns	DNA-binding protein H-NS	9	9	11031.5	10130.9	10347	10457.7	11281.9	10835.8	11501.7	10987	34517.6	34856.3	36332.8	33100.7	34975.1	34590.5	36714	34501.3
P0ACG1	STPA_ECOLI	stpA	DNA-binding protein StpA	4	4	6597.21	5895.82	4719.34	5124.73	5814.2	3812.5	5037.61	3875.1	17568	14820.3	18111.7	15706.3	17906.4	15724	15283.1	15693.9
P0ACG8	HSLR_ECOLI	hslR	Heat shock protein 15	1	1	534.348								680.309			624.231	575.621	826.423	676.222	715.328
P0ACJ0	LRP_ECOLI	lrp	Leucine-responsive regulatory protein	1	1										1019.71		1000.65				
P0ACJ8	CRP_ECOLI	crp	DNA-binding transcriptional dual regulator CRP	5	5	1603.89	1529.49		1566.1	1989.59	1505.2	1350.34	1508.72	4126.15	3228.31	5321.25	4299.87	4430.64	4269.82	4416.57	4376.37
P0ACR9	MPRA_ECOLI	mprA	Transcriptional repressor MprA	2	2		626.563							1031.8	1210.41	774.368	1501.71	1255.13	1143.72	1619.92	832.606
P0ACW6	YDCH_ECOLI	ydcH	Uncharacterized protein YdcH	4	4	1126.54	1024.33	1015.78	961.628	1002.78	969.378	1201.82	890.389	3830.16	3895.8	3812.02	3636.14	3390.28	3114.52	3555.63	3667.71
P0ACX3	YDHR_ECOLI	ydhR	Putative monooxygenase YdhR	4	4	3217.5	3157.38	2629.17	3070.53	3100.69	3674.87	3113.23	3045.18	9809.76	8496.83	8746.04	10743.1	10436.3	8623.31	9210.91	9467.21
P0ACY1	YDJA_ECOLI	ydjA	Putative NAD(P)H nitroreductase YdjA	4	4	1201.71	978.887	1450.74	1100.2		1114.41	1367.13	1141.72	3692.36	2607.86	3214.66	2963.56	2405.35	3021.44	2381.1	3256.05
P0AD10	YECJ_ECOLI	yecJ	Uncharacterized protein YecJ	2	2									1099.52	960.87	775.75	1007.08	945.299	983.167	881.149	1510.94
P0AD12	YEEZ_ECOLI	yeeZ	Protein YeeZ	1	1									1265.75	1151.7	1154.68	1419.46		1695.23	1324.62	1059.57
P0AD33	YFCZ_ECOLI	yfcZ	UPF0381 protein YfcZ	1	1		510.168							944.127	786.842	854.401		1253.59	1215.88	1128.61	579.258
P0AD49	YFIA_ECOLI	raiA	Ribosome-associated inhibitor A	4	4	3265.95	3621.7	3202.35	3258.72	2786.02	1286.5	3834.69	2205.13	10063.6	9019.46	10006.8	7831.71	8956.51	9161.79	9698.26	8812.86
