Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
P25605	ILV6_YEAST	ILV6	Acetolactate synthase small subunit, mitochondrial	8	8	81528.4	87685.7	98257.9	92851.6	90152.6	94593	90944.9	96250	44640.4	42738.1	41263.8	40790.5	40685	45262.1	44064.3	47186.4
P25617	YCQ6_YEAST	YCR016W	Uncharacterized protein YCR016W	4	4	12355.9	15350.9	17252.7	18795.6	20806.7	17694.7	15348.3	14665.3	6030.28	8715.97	11747.6	6866.5	9406.53	9773.66	7623.42	7903.32
P25618	CWH43_YEAST	CWH43	Protein CWH43	5	5	41652.2	43795.8	38582.5	37796.3	41216.9	46676.7	41208.8	42569.3	22020.6	22040.4	21503.9	22370.9	20592.7	19883.5	21356.4	22302.7
P25623	SYP1_YEAST	SYP1	Suppressor of yeast profilin deletion	19	19	99880.9	106686	106188	99156.1	105257	107341	93846.1	105570	42392.3	48016.4	44373.8	46160.6	43164.5	45174.8	48219.9	44643.7
P25627	BUD23_YEAST	BUD23	18S rRNA (guanine(1575)-N(7))-methyltransferase	1	1	9610.73	12152.5	10977.5	8813.73	9599.89	11243.2	8995.59	8662.6	2527.31	4349.66		2804.64	3999.88	4889	3865.62	4156.38
P25628	ARE1_YEAST	ARE1	Sterol O-acyltransferase 1	3	3	19530	21957.5	18882.7	17740.5	17189.7	22917.4	18366.6	22381.3	7605.26	12562.9		11188.5	7870.01	8385.44	9041.67	9959.25
P25631	YCU1_YEAST	YCR051W	Ankyrin repeat-containing protein YCR051W	1	1	6404.24	7356.86	7174.36	10370.2	8300.15	6558.7	10979.8	6338.04	5410.24		7178.17	8112.48	6773.58	6888.23	6580.67	6242.32
P25632	RSC6_YEAST	RSC6	Chromatin structure-remodeling complex protein RSC6	1	1	18789.9	17442.1	20260.2	19020.6	16058.7	21829.2	16059.9	19083.8	10848.1	10277	10375.4	9960.49	11259.3	7882.94	11926.7	7188.2
P25635	PWP2_YEAST	PWP2	Periodic tryptophan protein 2	2	2	15903	18066.2	16604.2	15969.1	13245.5	16918.2	12747	16615.3	8679.24	8007.11	6240.68	10390.9	10121.5	8551.63	8004.24	8577.18
P25639	YCV1_YEAST	YCR061W	Uncharacterized membrane protein YCR061W	1	1	4729.55	5836.46	6221.38	5910.44	6881.04	7074.28	7171.36	7177.15	4373.31	3835.14	2251.89		2965.42	3264.46	3840.99	3548.63
P25644	PAT1_YEAST	PAT1	Deadenylation-dependent mRNA-decapping factor PAT1	8	8	132759	144498	151016	153858	157342	149024	158727	140014	65712.1	69299.8	63547.9	61823	65249.5	52898.7	70518.1	63845.9
P25654	YCY0_YEAST	YCR090C	UPF0587 protein YCR090C	3	3	21001.8	18960.4	15737.3	19935.3	17226.3	20507.2	20500.5	14719.1	9072.26	9542.27	7857.75	11341.4	7874.08	7785.7	6545.43	8831
P25655	NOT1_YEAST	CDC39	General negative regulator of transcription subunit 1	16	16	42482.7	43522.7	45424.1	44331.8	41355.5	45434.3	45310.9	48250.3	24471.1	23882.7	24131.1	24267.7	25941.7	23763.8	23365.1	25372.5
P25659	FUB1_YEAST	FUB1	Silencing boundary-establishment protein FUB1	1	1	6032.05	7675.95	10180.3	6151.65	5822.62	9127.39	9200.99	6490.62	5289.14		4759.53			3395.7	4836.8	3489.9
P25665	METE_ECOLI	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	15	15	50064.3	48411.9	48289.1	45614.4	47077.5	51076.8	48212.3	52716.3	154822	154420	152006	153621	149089	152190	153566	149533
P25685	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	19	18	114352	120978	118871	113611	115429	114360	107970	121856	111072	106444	105157	109985	107890	108973	109719	112165
P25694	CDC48_YEAST	CDC48	AAA family ATPase involved in ubiquitin-mediated protein degradation CDC48	33	32	471608	511236	508983	501212	504413	516225	510220	533968	242529	246069	250764	247606	247872	242464	243475	249430
P25705	ATPA_HUMAN	ATP5F1A	ATP synthase F(1) complex subunit alpha, mitochondrial	44	39	1.34389e+06	1.35633e+06	1.37411e+06	1.37404e+06	1.40819e+06	1.36651e+06	1.38321e+06	1.37024e+06	1.34961e+06	1.32665e+06	1.4178e+06	1.41075e+06	1.37411e+06	1.35383e+06	1.34313e+06	1.36851e+06
P25714	YIDC_ECOLI	yidC	Membrane protein insertase YidC	5	5	23472.8	24900.1	21673.6	25540.4	24651	22631.2	19611.1	29161.2	57683.5	55888.5	59144.9	62667.2	52926.4	50951	54635.7	59388.8
P25719	CYPC_YEAST	CPR3	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	5	5	284400	282591	295919	280100	286821	298269	286560	276635	124604	124394	131289	130715	132597	124478	130282	129516
P25736	END1_ECOLI	endA	Endonuclease-1	2	2						13312.7	10807.6	8655.28	15239.7	12606.6	18341.5	18397.7	14826.6	12308.8	12145.8	
P25738	MSYB_ECOLI	msyB	Acidic protein MsyB	2	2	29529.6	27614.1	30411.4	31415.7	31387.6	30885.7	27623.4	31530.4	137661	139089	147446	138744	144610	142772	142447	143663
P25745	MNMA_ECOLI	mnmA	tRNA-specific 2-thiouridylase MnmA	10	10	16006.4	16951.3	15544.1	17046.2	17308.7	17685.7	17429.4	18565.1	58485.1	57261	59855.5	59893	59338.8	60218.5	59443.2	58922.1
P25746	HFLD_ECOLI	hflD	High frequency lysogenization protein HflD	3	3							3306.13		13315.5	9612.4	11199.2	13045.3	9772.04	14177.3	11768.5	11182.1
P25748	GALS_ECOLI	galS	HTH-type transcriptional regulator GalS	9	9	11794.2	11818.9	14813.3	12036.7	12521.7	12453.4	13461	13783.3	44512.7	45524.9	43909.8	48781.3	47694.8	45368	47086.2	45575.2
P25774	CATS_HUMAN	CTSS	Cathepsin S	5	5	19582.7	16811.4	17503.6	20233.9	17646.7	19673.2	16374.3	19003.6	14981	16071.2	17093.6	16669.7	16679.8	17873.1	16352.2	18024.6
P25786	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	19	19	515361	533334	534379	518311	516602	473929	512536	499792	509672	516408	510324	518854	516113	511961	520940	535196
P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	11	11	477361	490115	462982	463109	467591	442942	456325	451162	469551	454550	461576	453365	447784	440540	465566	452934
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	14	14	547359	510179	530339	523780	523310	513025	508129	439418	490198	492565	478239	495811	478762	480354	465167	489733
P25789	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	13	11	914476	869702	854512	862260	865466	845933	834768	821043	890900	861061	866761	867604	851907	827880	889773	895128
P25791	RBTN2_HUMAN	LMO2	Rhombotin-2	1	1	8763.17	9939.52	7823.35	8114.52	4332.22	4967.22		7169.21	4741.12	3690.32	3015.08		3777.21	5189.51	5456.13	8182.25
P25808	SPB4_YEAST	SPB4	ATP-dependent rRNA helicase SPB4	2	2	18373	18608.1	14061.3	10760.2	12084.5	14335.6	13439.6	14181.7	3727.56	5960.44	3852.66	6205.85	5524.81	3159.22	3869.36	3244.94
P25815	S100P_HUMAN	S100P	Protein S100-P	2	2	22431.8	24849.4	25147.7	18587.8	20436.8	20747.1	23315.2	19402	21609.8	18421.3	23019.1	21751	23015.5	20176.2	20421.8	23409.7
P25847	MSH2_YEAST	MSH2	DNA mismatch repair protein MSH2	7	7	29623.4	29761	37090.5	32428.7	35648.6	36181.5	31163.6	36920.6	16888.7	16131.7	16648.3	17739.8	16059.2	16236.9	15880.7	20232.4
P25888	RHLE_ECOLI	rhlE	ATP-dependent RNA helicase RhlE	2	2	8398.39					7276.03			15623.2	18911	19516.5	22801.9	17691.8	18203.3	20981.7	16967.1
P25889	PREA_ECOLI	preA	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA	4	4	18723.5	21827.6	25710	15570.6	12649.3			17088.8	45294.7	48323.4	47812.5	46389.1	49664.5	45281	53744.8	59878
P25894	LOIP_ECOLI	loiP	Metalloprotease LoiP	7	7	20852.2	20927.9	19650.2	20561.5	17653.9	19468.5	18383.8	23663.8	50576.4	47477.6	50181.4	47716.3	48967.4	49443.3	46823.6	49961.2
P26038	MOES_HUMAN	MSN	Moesin	44	38	1.0721e+06	1.00481e+06	1.03296e+06	1.0653e+06	1.03122e+06	1.01232e+06	1.05033e+06	964875	1.05467e+06	1.04066e+06	1.1175e+06	1.1097e+06	1.05719e+06	1.06164e+06	1.05123e+06	1.07126e+06
P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	20	20	322522	309343	286665	275327	294609	300618	280205	284614	279523	290177	274897	283748	277419	280223	284716	289859
P26281	HPPK_ECOLI	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	1	1						3656.94	3412.81	4200.61	16273.5	11667.6	12904	15234	16243	15113.9	12790.9	17895
P26321	RL5_YEAST	RPL5	Large ribosomal subunit protein uL18	10	10	576924	584298	590739	576564	597310	612288	568650	658908	274231	270860	282086	281005	278414	271064	275557	280221
P26358	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	46	46	111748	112193	110285	114217	114099	113526	110554	111172	113783	112607	108762	112059	113105	112893	111622	108189
P26368	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	14	14	774308	842268	802387	782973	815511	779620	746739	781325	765475	743450	749391	745716	765147	773716	736541	741762
P26373	RL13_HUMAN	RPL13	Large ribosomal subunit protein eL13	19	19	605866	546178	589392	587624	587345	550785	580212	550565	559534	556882	555571	570161	563817	564014	556551	557209
P26374	RAE2_HUMAN	CHML	Rab proteins geranylgeranyltransferase component A 2	6	6	14425.2	15541.7	14932	15889	13004.5	15238.3	13453.4	14278.4	14074.8	16014.1	14076.5	14786.6	15436.3	16367.6	15138.6	13408.3
P26447	S10A4_HUMAN	S100A4	Protein S100-A4	2	2	7849.35	9205.23	9577.63	8039.92	9868.7	6082.8	6483.22	9177.36		10935.9	6308.04	9661.06				5308.23
P26570	PPZ1_YEAST	PPZ1	Serine/threonine-protein phosphatase PP-Z1	3	2	4875.18	7597.66	8048.62	7108.87	8162.86	6637.69	7054.65	9804.05	6125.82		3513.88	3031.97		4376.7	5105.42	
P26572	MGAT1_HUMAN	MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	2	2	7951.6	6854.69	7868.62	7202.58	6397.72	9658.94	6983.42	7772.4	7983.69	6378.86	5524.23	6740.37	5888.11	6886.21	6332.81	6278.65
P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	14	10	1.34609e+06	1.17917e+06	1.13958e+06	1.26389e+06	1.17124e+06	1.14456e+06	1.28983e+06	1.09865e+06	1.28255e+06	1.31229e+06	1.30204e+06	1.32377e+06	1.26463e+06	1.23341e+06	1.26376e+06	1.29073e+06
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	24	21	1.62748e+06	1.54789e+06	1.6191e+06	1.57205e+06	1.62301e+06	1.58418e+06	1.56947e+06	1.46663e+06	1.50389e+06	1.55954e+06	1.58769e+06	1.57091e+06	1.55172e+06	1.45094e+06	1.53687e+06	1.54786e+06
P26602	UBIC_ECOLI	ubiC	Chorismate pyruvate-lyase	3	3	10634	11951.1	13700.2	11185.1	10174.7	12171.3	12360.1	14999.2	41244.6	43255.9	46636.2	44726	45762.1	50142.1	45129.5	47963.2
P26616	MAO1_ECOLI	maeA	NAD-dependent malic enzyme	1	1	7399.69	6350.29	8892.98	4776.62			6297.75		17893	15781.5	16411.7	15412.1	17199.4	19088.1	14921.7	14147.8
P26637	SYLC_YEAST	CDC60	Leucine--tRNA ligase, cytoplasmic	41	40	329206	323542	317943	320537	314302	323306	328988	327004	147618	147937	143773	146717	150891	150657	150613	150403
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	34	32	329357	296810	300268	310158	297041	273942	303807	278742	309078	309098	319928	328813	307762	307824	310700	306623
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	52	52	473920	465781	479880	491208	470353	476335	484285	484488	485635	469063	479972	489729	471388	469688	477064	472802
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	23	23	1.30748e+06	1.26463e+06	1.2821e+06	1.28806e+06	1.25547e+06	1.26411e+06	1.27818e+06	1.29424e+06	1.34125e+06	1.31448e+06	1.28304e+06	1.292e+06	1.26877e+06	1.28377e+06	1.22393e+06	1.30301e+06
P26646	ACUI_ECOLI	acuI	Probable acrylyl-CoA reductase AcuI	11	11	22841.3	21252.3	22288.3	22026.8	21253.4	23692.3	22591.9	20225.5	72899.4	69527.4	77359	77874.2	75426.5	76940.4	75815.8	77905.9
P26649	GLGS_ECOLI	glgS	Surface composition regulator	2	2		2548.09	3456.74	3501.97		3443.31	4261.67	2338.13	9812.04	13526.7	16049.7	16475.5	11314.2	11780.6	14143.2	12409.7
P26754	RFA2_YEAST	RFA2	Replication factor A protein 2	4	4	12589.6	12631.3	13407	14045.4	12364.7	14624	11573.3	13407	8751.08	6904.06	7322.29	7715.51	7532.88	7857.54	8918.45	7875.19
P26755	RFA3_YEAST	RFA3	Replication factor A protein 3	1	1	25166.6	30506.6	23473.6	26222	27219.3	26544.5	29816.4	29682.6	11196.7	9388.42	9353.19	10065.4	9128.51	10009.4	10107.7	11606.5
P26783	RS5_YEAST	RPS5	Small ribosomal subunit protein uS7	12	12	616955	612576	627710	628053	609768	599134	633731	598296	279353	268535	266598	273986	278527	278243	273037	280336
P26784	RL16A_YEAST	RPL16A	Large ribosomal subunit protein uL13A	10	10	579518	577230	596669	581852	596422	604065	600962	615259	268591	271935	237589	264483	263628	245023	250785	254266
P26785	RL16B_YEAST	RPL16B	Large ribosomal subunit protein uL13B	17	11	670249	676693	660682	658192	661197	677761	694999	672516	314291	308839	327560	315368	318669	314384	302486	321975
P26786	RS7A_YEAST	RPS7A	Small ribosomal subunit protein eS7A	13	9	1.06241e+06	1.13361e+06	1.08478e+06	1.0562e+06	1.10323e+06	1.07072e+06	1.06449e+06	1.06734e+06	507852	490052	451475	478441	472434	476104	455822	475504
P26793	FEN1_YEAST	RAD27	Flap endonuclease 1	4	4	166281	193709	187770	200822	195279	207763	197228	206431	125533	79342	124813	93713.5	123783	84477.2	93068.4	122270
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	6	6	123447	125886	121226	134020	126032	127149	132652	123342	132401	130900	129829	132619	117251	126225	124687	126840
P27105	STOM_HUMAN	STOM	Stomatin	9	9	37761.8	38298.7	43262.1	41448	41623.3	41277	42923.9	44382.2	43169.6	45185.6	48886.8	47131.7	45656.6	47552.7	47206.4	43432.2
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	13	13	70199	74527.2	72596.6	73351	75588.3	69771.2	76668.8	78602.2	74558.2	74974.8	76720	76611.5	77852.7	79911.7	74667.8	74626.6
P27240	WAAY_ECOLI	waaY	Lipopolysaccharide core heptose(II) kinase WaaY	1	1	50768.4	42580	41062.4	45956.9	55593.7	49010.7	52451.6	56940.2	43926.2	42009.7	22735.1	39131.4	31226.5	33829.6	34631.2	34334.8
P27248	GCST_ECOLI	gcvT	Aminomethyltransferase	11	11	88155.7	79807.2	81077.9	83873.8	75514.2	80695.8	83485.3	85145.4	301119	293972	307026	310728	288435	306807	285576	287846
P27250	AHR_ECOLI	ahr	Aldehyde reductase Ahr	2	2		6601.28						7681.27	12105.3	11442.8	14903.8	12896.7	13467.1	11876.4	10652.7	11412.6
P27278	NADR_ECOLI	nadR	Trifunctional NAD biosynthesis/regulator protein NadR	1	1								7174.24	17113.9	19815.7	12650.5	15634.9	12575.9	21177.5	11655.1	15939.2
P27298	OPDA_ECOLI	prlC	Oligopeptidase A	14	14	14270.9	17419	14956.6	16263.8	17275.3	14469.5	13328.2	16543	52655.5	49247.4	47443.2	49156.5	49504	51852.7	45190	49934.7
P27302	TKT1_ECOLI	tktA	Transketolase 1	23	21	92741.4	84028.6	83821.6	86484.5	79674.2	72630.9	90009.1	74677.4	302978	295332	309671	309628	295142	292246	294982	290842
P27303	EMRA_ECOLI	emrA	Multidrug export protein EmrA	10	10	703406	541192	662078	632873	598418	506066	562096	574396	404323	419080	375123	389722	405377	409944	386170	397429
P27306	STHA_ECOLI	sthA	Soluble pyridine nucleotide transhydrogenase	11	11	38387.8	42704.5	46668.7	38863.4	41332.7	37971	37519	45788.4	114186	118519	109399	116986	119253	111438	112529	115863
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	11	10	882586	875867	907838	891766	857720	881991	892048	896817	893127	901289	916988	920596	915289	929895	903628	932982
P27351	AP2B_YEAST	APL1	AP-2 complex subunit beta	4	4	9915.92	7957.15	6859.36	9051.92	7561.86	5258.51	6931.81	8787.99	4928.92	4186.44	3167.94	2783.58	4089.28	3247.08	4144.7	
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	9	9	40078.6	40203.2	40369.4	35850	35853.8	36997.2	41170.4	35250.8	40023.8	39080.6	42961.4	42206.6	40579.9	41087.6	41544.2	37724.8
P27434	RODZ_ECOLI	rodZ	Cytoskeleton protein RodZ	9	9	16846.6	17692.2	16990.9	16839.9	16872.1	17030.2	17524.5	17595.6	54656.6	52996	53585.4	54718.6	55892.5	54509.8	55320.2	58497.7
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3	7	5	21169.4	19432.7	19103.4	18999.7	19852.7	21358.8	19260.3	20333.6	20258.5	20459.4	18918.3	21978.2	20987.7	20334.5	22208.5	22008.3
P27466	KCC1_YEAST	CMK1	Calcium/calmodulin-dependent protein kinase I	5	5	22184.9	24644.9	24800.8	25231.5	21571.8	24162.3	22431.4	25853.3	9231.09	11150.3	8880.28	9282.87	9481.11	9820.71	8783.82	10516.8
P27472	GYS2_YEAST	GSY2	Glycogen [starch] synthase isoform 2	16	13	102384	104343	98625.9	98940	99660.5	98564.1	102012	103169	49127.9	49638.5	46872.1	50531.6	48544.4	48276.7	48639.9	49544.9
P27476	NSR1_YEAST	NSR1	Nuclear localization sequence-binding protein	8	8	111211	106892	103315	104812	104628	103994	111999	107564	47552.6	45286.2	45961	45815.2	45773.6	43979.3	45928	42326.3
P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3	3	0	3.93719e+06	3.88287e+06	3.70651e+06	3.65391e+06	3.54535e+06	3.39915e+06	3.50785e+06	3.08726e+06	3.20445e+06	3.37575e+06	3.3149e+06	3.29987e+06	3.25578e+06	3.28923e+06	3.27226e+06	3.34083e+06
P27514	PHO91_YEAST	PHO91	Low-affinity phosphate transporter PHO91	5	5	19884.8	20908.1	22686.3	21341	20760	21066.1	20339.9	20038.7	11236.4	10670.8	9672.72	10267.1	11166.9	9762.54	10308.3	10763.9
P27540	ARNT_HUMAN	ARNT	Aryl hydrocarbon receptor nuclear translocator	4	4	23074.1	24020.1	26058.4	24618.3	24347.6	29272.6	23794.4	28983.6	24503.6	25310.9	23696.1	25750	22576.8	27957	27629.5	25093.9
P27550	ACSA_ECOLI	acs	Acetyl-coenzyme A synthetase	12	12	60861.6	42625.7	43496.6	40123.1	54397.9	28827.1	41224.2	67197.6	141906	142304	145327	139537	145589	169396	164156	149394
P27614	CBPS_YEAST	CPS1	Carboxypeptidase S	14	14	216841	233367	230206	219187	229135	228552	225536	228924	102836	101460	99998.7	97062.7	100141	101891	99699	105105
P27616	PUR7_YEAST	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase	17	17	236122	253749	245243	240698	239745	243035	244538	252874	107753	111933	107470	110679	108780	106837	108895	108278
P27635	RL10_HUMAN	RPL10	Large ribosomal subunit protein uL16	14	7	948229	911171	932609	944753	932766	920255	953254	910364	965536	952823	981390	1.01005e+06	950342	958526	949394	919825
P27637	BUD14_YEAST	BUD14	Bud site selection protein 14	3	3	7720.53	11517.4	9640.65	12266	10650.2	12209.1	14945.2	12288.7	9801.46	10577.9	5474.64	6975.28		6601.6	8482.14	9908.62
P27680	COQ3_YEAST	COQ3	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	1	1	19545.8	38842.2	35858.6	26717.8	37355.3	38725.7		33199.6		16149					18138.7	21270.8
P27692	SPT5_YEAST	SPT5	Transcription elongation factor SPT5	26	26	96270.2	104440	104279	102210	102884	105433	100008	104148	49341.2	46121.8	47432	49588.9	48208.3	44034.6	47332.5	48189.3
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	21	21	135495	125842	132549	132654	132356	136062	134823	132188	134861	131051	129955	135450	132746	131006	133057	129900
P27695	APEX1_HUMAN	APEX1	DNA repair nuclease/redox regulator APEX1	12	12	430450	415392	441698	399836	413738	432892	418944	407232	369482	371468	370825	376794	377808	383010	391027	389601
P27705	MIG1_YEAST	MIG1	Regulatory protein MIG1	2	2	6487.49	4776.11	5064.67	5489.73	4030.97	3429.09	5826.45		3577.34		3036.92		1686.8		2846.74	3381.32
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	7	7	96679	86470.1	91075.9	81063.6	77381.6	76304	75100.7	82378	93501.3	89071.7	85481.3	89305.5	89646.9	94582.7	81059.3	89981.7
P27708	PYR1_HUMAN	CAD	Multifunctional protein CAD	59	56	1.18427e+06	1.17986e+06	1.20074e+06	1.19295e+06	1.17452e+06	1.15368e+06	1.16062e+06	1.13681e+06	1.10873e+06	1.10668e+06	1.15676e+06	1.14953e+06	1.12322e+06	1.12118e+06	1.11558e+06	1.12502e+06
P27797	CALR_HUMAN	CALR	Calreticulin	21	21	1.86093e+06	1.77165e+06	1.7434e+06	1.83578e+06	1.77541e+06	1.79388e+06	1.82973e+06	1.73113e+06	1.69194e+06	1.68113e+06	1.66424e+06	1.70778e+06	1.65793e+06	1.67774e+06	1.65339e+06	1.73497e+06
P27809	KRE2_YEAST	KRE2	Glycolipid 2-alpha-mannosyltransferase	6	6	124244	126783	125413	116872	124482	122270	127067	128438	57631.8	54924.1	54209.9	54879.5	55443.5	54473.9	56795.3	53160.5
P27810	KTR1_YEAST	KTR1	Alpha-1,2 mannosyltransferase KTR1	7	7	65017.8	56491.8	56157.4	60745	58801.6	62836.5	63745.2	64372.7	29268.9	29086.7	27659.4	29304.2	28254.1	28382.2	29421.1	26423.9
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	42	42	490866	472629	486023	476052	480597	486491	477639	500676	461020	452530	449582	456037	456066	467781	455314	463247
P27824	CALX_HUMAN	CANX	Calnexin	21	21	248194	237809	247481	248167	245729	235924	238451	244395	247748	240208	241114	250316	243286	247299	243290	245099
P27825	CALX_YEAST	CNE1	Calnexin homolog	1	1				8092.09	8582.03	13760.9	12335.9	8954.59					7196.03			
P27828	WECB_ECOLI	wecB	UDP-N-acetylglucosamine 2-epimerase	5	5	11458.9		4447.28	3428.2	13466.2	14111	13630.7	4319.01	14945.4	14580.5	13007.1	15163.9	15639.4	14968.3	15952.6	13819.6
P27829	WECC_ECOLI	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase	3	3		12632.2	16255.7			10747.4		17359.6	16432.8	13906.6	9723.35	12901	12381.4	17015.3	14212.3	16859.7
P27833	WECE_ECOLI	wecE	dTDP-4-amino-4,6-dideoxygalactose transaminase	3	3	3962.76	4325.94		4820.64		9090.5	4565.94	4595.26	21195	20159.6	19384.1	22096	20272.8	23776.7	21875.6	19840
P27836	WECG_ECOLI	wecG	UDP-N-acetyl-D-mannosaminuronic acid transferase	3	3			3187.91		2258.45				5172.43	9617.73	7555.04	9544.09	7463.8	10434.2	9531.14	5746.45
P27848	YIGL_ECOLI	yigL	Phosphosugar phosphatase YigL	6	6	25222.8	23963.3	24750.5	23334.2	24804.9	27523.3	27482.9	23683.3	78021.1	82245.1	77201.6	79710.2	85736.7	80774	83182.2	78360.6
P27859	TATD_ECOLI	tatD	3'-5' ssDNA/RNA exonuclease TatD	1	1									14519.7	10633.4	8912.61	10021.6	9904.88	11512.5	10992.2	11677
P27882	ERV1_YEAST	ERV1	Mitochondrial FAD-linked sulfhydryl oxidase ERV1	3	3	8654.41	11582.6	11686.2	11090.7	10516.2	9246.83	11141	9319.36	6427.96	6170.97	6263.17	6001.12	5688.51		6102.89	7763.31
P27986	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	3	3	16520.3	16636.6	22962.4	23444	20134.8	15542.1	22567.3	22206.7	31064.6	29163.7	30544	36092.7	28642.2	31728.1	26468.1	31791.9
P28000	RPAC2_YEAST	RPC19	DNA-directed RNA polymerases I and III subunit RPAC2	4	4	20447.5	18476.3	19746.3	23182.3	18869.3	20957.1	19704.2	18359.2	9928.5	8030.67	10451.9	9776.72	9419.88	11107.1	10420	10641.6
P28007	GAR1_YEAST	GAR1	H/ACA ribonucleoprotein complex subunit GAR1	3	3	54193.4	62183.1	61012.8	63503.9	58522.6	58766.9	65391.9	65523.5	25438.9	27767.7	26547.4	28408.7	31459.2	24113.3	26713	26310.4
P28062	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	1	1		2611.09	1714.27	1510.1	3721.26	2042.91	2779.83		1948.46				2724.11	2432.4	2293.04	2180.58
