Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A10_1 Spectral Count	A10_2 Spectral Count	A10_3 Spectral Count	A10_4 Spectral Count	A10_5 Spectral Count	A10_6 Spectral Count	A10_7 Spectral Count	A10_8 Spectral Count	B10_1 Spectral Count	B10_2 Spectral Count	B10_3 Spectral Count	B10_4 Spectral Count	B10_5 Spectral Count	B10_6 Spectral Count	B10_7 Spectral Count	B10_8 Spectral Count	A10_1 Unique Spectral Count	A10_2 Unique Spectral Count	A10_3 Unique Spectral Count	A10_4 Unique Spectral Count	A10_5 Unique Spectral Count	A10_6 Unique Spectral Count	A10_7 Unique Spectral Count	A10_8 Unique Spectral Count	B10_1 Unique Spectral Count	B10_2 Unique Spectral Count	B10_3 Unique Spectral Count	B10_4 Unique Spectral Count	B10_5 Unique Spectral Count	B10_6 Unique Spectral Count	B10_7 Unique Spectral Count	B10_8 Unique Spectral Count	A10_1 Total Spectral Count	A10_2 Total Spectral Count	A10_3 Total Spectral Count	A10_4 Total Spectral Count	A10_5 Total Spectral Count	A10_6 Total Spectral Count	A10_7 Total Spectral Count	A10_8 Total Spectral Count	B10_1 Total Spectral Count	B10_2 Total Spectral Count	B10_3 Total Spectral Count	B10_4 Total Spectral Count	B10_5 Total Spectral Count	B10_6 Total Spectral Count	B10_7 Total Spectral Count	B10_8 Total Spectral Count	A10_1 Intensity	A10_2 Intensity	A10_3 Intensity	A10_4 Intensity	A10_5 Intensity	A10_6 Intensity	A10_7 Intensity	A10_8 Intensity	B10_1 Intensity	B10_2 Intensity	B10_3 Intensity	B10_4 Intensity	B10_5 Intensity	B10_6 Intensity	B10_7 Intensity	B10_8 Intensity	A10_1 MaxLFQ Intensity	A10_2 MaxLFQ Intensity	A10_3 MaxLFQ Intensity	A10_4 MaxLFQ Intensity	A10_5 MaxLFQ Intensity	A10_6 MaxLFQ Intensity	A10_7 MaxLFQ Intensity	A10_8 MaxLFQ Intensity	B10_1 MaxLFQ Intensity	B10_2 MaxLFQ Intensity	B10_3 MaxLFQ Intensity	B10_4 MaxLFQ Intensity	B10_5 MaxLFQ Intensity	B10_6 MaxLFQ Intensity	B10_7 MaxLFQ Intensity	B10_8 MaxLFQ Intensity	Indistinguishable Proteins
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens	1:Experimental evidence at protein level	Prelamin-A/C	1.0	0.999	66	1502	1484	1502	85	89	95	90	100	87	81	85	88	102	96	99	100	106	96	103	84	88	94	88	98	86	80	84	87	101	95	98	99	105	95	102	85	89	95	90	100	87	81	85	88	102	96	99	100	106	96	103	4559308.5	4491531.0	4870974.0	4589915.0	4653221.5	4607642.0	4824280.0	4347108.5	4340519.0	4880880.5	4726880.5	4516057.5	4653702.0	4683555.0	4795232.0	4772351.5	225388.9	224271.2	232535.62	227857.39	226582.83	222896.94	230225.34	223018.84	231989.31	239043.67	234524.8	234254.17	237954.44	232868.8	232812.28	234929.62	
sp|P02549|SPTA1_HUMAN	P02549	SPTA1_HUMAN	SPTA1	2419	Homo sapiens	1:Experimental evidence at protein level	Spectrin alpha chain, erythrocytic 1	1.0	0.999	70	761	761	761	41	47	54	48	43	46	39	39	50	54	55	50	47	46	51	51	41	47	54	48	43	46	39	39	50	54	55	50	47	46	51	51	41	47	54	48	43	46	39	39	50	54	55	50	47	46	51	51	937526.7	1107512.5	1090417.4	992008.25	1059859.5	991525.25	990498.25	1031120.4	1051510.9	1078297.5	1092743.6	1010265.56	995550.2	1078884.5	1055363.1	1065598.9	45929.664	45540.707	45807.957	45076.633	46749.445	46087.043	45124.426	45234.66	46071.13	46808.43	46804.676	46386.727	46416.61	46999.938	45323.973	47506.25	
sp|P02557|TBB_YEAST	P02557	TBB_YEAST	TUB2	457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tubulin beta chain	1.0	0.999	10	85	85	96	9	7	6	8	7	7	8	11	3	4	2	3	2	3	2	3	9	7	6	8	7	7	8	11	3	4	2	3	2	3	2	3	11	7	7	8	7	7	9	12	4	5	3	3	3	4	2	4	131752.52	140340.88	143596.55	132876.73	140866.05	110596.81	182773.12	125774.86	36970.965	109428.21	59744.12	58107.477	48507.043	56209.23	47263.79	44543.305	38881.527	44472.8	55607.36	51886.37	49341.098	47322.44	51755.43	41265.195	28934.363	30306.502	32025.531	31117.605	31311.682	28673.486	31460.645	35242.03	
sp|P02649|APOE_HUMAN	P02649	APOE_HUMAN	APOE	317	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein E	1.0	0.999	3	4	4	4	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0.0	15559.861	0.0	0.0	8574.1455	36904.547	0.0	28484.924	15059.7	0.0	0.0	19731.664	7254.4194	26901.855	0.0	8199.344	0.0	12085.128	0.0	0.0	16541.762	15296.832	0.0	22123.844	11696.659	0.0	0.0	10407.289	13995.666	16224.659	0.0	15818.672	
sp|P02655|APOC2_HUMAN	P02655	APOC2_HUMAN	APOC2	101	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-II	0.9246	0.9977	1	14	14	14	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	36394.715	32091.166	31842.852	28003.17	33481.254	24956.572	32081.385	29819.883	33014.434	0.0	31166.139	30981.656	33160.676	33135.355	0.0	33635.938	36394.715	32091.166	31842.852	28003.17	33481.254	24956.572	32081.385	29819.883	33014.434	0.0	31166.139	30981.656	33160.676	33135.355	0.0	33635.938	
sp|P02656|APOC3_HUMAN	P02656	APOC3_HUMAN	APOC3	99	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-III	0.9655	0.999	1	29	29	29	1	3	3	2	3	1	1	2	1	1	1	1	3	2	1	3	1	3	3	2	3	1	1	2	1	1	1	1	3	2	1	3	1	3	3	2	3	1	1	2	1	1	1	1	3	2	1	3	76360.65	75218.05	77740.48	27699.139	75051.02	80736.78	76379.09	73695.38	70474.984	67291.3	70693.88	68995.83	70358.88	72346.74	73193.51	73288.98	76360.65	75218.05	77740.48	27699.139	75051.02	80736.78	76379.09	73695.38	70474.984	67291.3	70693.88	68995.83	70358.88	72346.74	73193.51	73288.98	
sp|P02748|CO9_HUMAN	P02748	CO9_HUMAN	C9	559	Homo sapiens	1:Experimental evidence at protein level	Complement component C9	0.9655	0.999	1	19	19	19	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	24000.11	30353.85	0.0	27933.482	30630.746	25756.416	29149.816	24155.033	21103.246	32527.764	28058.336	30144.338	28286.295	31173.074	29584.729	29248.879	24000.11	30353.85	0.0	27933.482	30630.746	25756.416	29149.816	24155.033	21103.246	32527.764	28058.336	30144.338	28286.295	31173.074	29584.729	29248.879	
sp|P02751|FINC_HUMAN	P02751	FINC_HUMAN	FN1	2477	Homo sapiens	1:Experimental evidence at protein level	Fibronectin	1.0	0.999	6	9	9	9	1	0	1	0	1	0	1	0	0	0	1	1	0	0	2	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	2	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	2	1	43863.76	28183.928	40458.81	19315.762	32264.93	8110.291	30858.578	21024.676	46245.848	0.0	58456.934	77532.1	57787.113	47679.35	36139.1	58644.992	20588.81	72635.36	39905.664	27366.494	29440.574	20901.768	25696.797	29787.676	32197.83	0.0	23932.506	32026.639	30883.527	25398.008	25161.193	24599.512	
sp|P02765|FETUA_HUMAN	P02765	FETUA_HUMAN	AHSG	367	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1.0	0.999	3	29	29	29	3	2	4	2	3	2	2	1	1	2	1	1	2	1	1	1	3	2	4	2	3	2	2	1	1	2	1	1	2	1	1	1	3	2	4	2	3	2	2	1	1	2	1	1	2	1	1	1	41446.14	29360.533	26075.05	17975.59	22660.305	33739.145	26238.463	23965.715	53538.09	14023.083	49100.875	48646.066	15523.862	13231.406	7269.3037	53401.395	38720.008	21787.543	19605.467	16832.78	17278.305	25880.904	24570.334	18474.95	40796.426	14290.075	45979.25	45553.36	14991.919	12390.21	26812.336	50006.363	
sp|P02786|TFR1_HUMAN	P02786	TFR1_HUMAN	TFRC	760	Homo sapiens	1:Experimental evidence at protein level	Transferrin receptor protein 1	1.0	0.999	45	1177	1177	1177	73	72	76	67	70	73	71	73	75	76	81	69	74	78	78	71	73	72	76	67	70	73	71	73	75	76	81	69	74	78	78	71	73	72	76	67	70	73	71	73	75	76	81	69	74	78	78	71	3573112.5	3824969.2	3932171.0	3812259.0	3850521.8	3859363.5	3583629.8	3831441.8	3937193.0	4051658.8	3986649.2	3947818.2	3986369.2	3928547.2	3847691.8	3909184.2	468553.25	480287.3	496874.2	472487.62	483635.3	471662.1	478132.28	475019.75	489440.47	499613.84	483795.66	481371.78	496520.78	488574.03	488354.44	492370.78	
sp|P02794|FRIH_HUMAN	P02794	FRIH_HUMAN	FTH1	183	Homo sapiens	1:Experimental evidence at protein level	Ferritin heavy chain	0.9999	0.999	2	3	3	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	15183.777	11179.674	16828.584	0.0	12912.726	12695.284	11464.967	0.0	9253.452	0.0	13073.988	22088.223	0.0	0.0	0.0	0.0	15183.777	11179.674	16828.584	0.0	12912.726	12695.284	11464.967	0.0	9253.452	0.0	13073.988	0.0	0.0	0.0	
sp|P02829|HSP82_YEAST	P02829	HSP82_YEAST	HSP82	709	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent molecular chaperone HSP82	1.0	0.999	46	139	139	1377	9	10	13	10	10	14	13	12	6	5	6	6	7	6	4	8	9	10	13	10	10	14	13	12	6	5	6	6	7	6	4	8	98	98	116	100	97	112	100	108	68	64	65	64	73	73	64	77	429340.44	469095.75	444668.3	443618.47	482092.5	479768.62	493788.22	496418.2	229257.33	211415.08	219177.9	243016.3	220260.75	206471.94	212377.03	218708.8	145157.27	148351.23	149807.39	153366.06	156824.12	157364.45	160056.56	159573.36	85828.76	84711.5	77839.97	84922.32	80731.45	82466.34	80190.44	82878.0	
sp|P02919|PBPB_ECOLI	P02919	PBPB_ECOLI	mrcB	844	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Penicillin-binding protein 1B	0.9877	0.9948	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43343.703	0.0	8101.1836	8877.067	46840.61	0.0	40421.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19375.799	0.0	21873.54	23968.457	21936.434	0.0	22274.662	
sp|P02924|ARAF_ECOLI	P02924	ARAF_ECOLI	araF	329	Escherichia coli (strain K12)	1:Experimental evidence at protein level	L-arabinose-binding periplasmic protein	1.0	0.999	9	102	102	102	1	2	2	3	2	1	3	5	11	8	9	13	12	10	10	10	1	2	2	3	2	1	3	5	11	8	9	13	12	10	10	10	1	2	2	3	2	1	3	5	11	8	9	13	12	10	10	10	190875.92	75661.88	209825.16	81341.45	81446.36	60039.836	89563.17	67091.414	336960.4	327923.44	317608.28	333885.2	322838.25	342659.0	334118.2	277369.56	29276.615	26282.55	33839.043	26304.566	30394.428	27235.092	33478.383	30179.55	70676.9	79641.445	72053.18	73859.08	68904.65	76085.65	72799.38	76493.09	
sp|P02925|RBSB_ECOLI	P02925	RBSB_ECOLI	rbsB	296	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Ribose import binding protein RbsB	1.0	0.999	14	363	363	363	13	16	9	13	14	15	12	14	31	32	33	29	34	32	32	34	13	16	9	13	14	15	12	14	31	32	33	29	34	32	32	34	13	16	9	13	14	15	12	14	31	32	33	29	34	32	32	34	512186.97	486975.5	546920.25	488228.75	519462.62	577270.44	399328.7	507053.84	1524583.1	1481614.1	1428260.8	1484732.5	1360677.2	1379207.2	1501034.5	1279478.6	67005.36	69797.09	70654.11	74779.28	68534.48	70702.52	69502.85	66043.445	190753.05	189126.1	187018.2	189630.97	190294.06	187975.56	191816.6	189885.45	
sp|P02930|TOLC_ECOLI	P02930	TOLC_ECOLI	tolC	493	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Outer membrane protein TolC	1.0	0.999	4	9	9	9	0	0	0	0	0	0	0	0	1	0	3	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	3	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	3	2	0	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33693.25	9435.7	27961.316	38766.004	39599.78	16279.814	21963.863	45343.824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20495.408	17578.81	16393.51	17274.078	19276.588	18275.428	18177.652	22734.469	
sp|P02931|OMPF_ECOLI	P02931	OMPF_ECOLI	ompF	362	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Outer membrane porin F	1.0	0.999	3	16	13	16	0	0	0	0	0	0	0	0	1	3	2	3	2	2	1	2	0	0	0	0	0	0	0	0	1	2	2	3	1	1	1	2	0	0	0	0	0	0	0	0	1	3	2	3	2	2	1	2	0.0	0.0	8370.76	0.0	0.0	8242.509	9791.682	0.0	36722.67	50353.89	24831.93	25073.783	33625.21	44491.703	25611.703	34772.72	0.0	0.0	8370.76	0.0	0.0	8242.509	9791.682	0.0	19535.46	20771.506	18746.371	18618.23	17595.947	18718.12	19594.926	17671.576	
sp|P02992|EFTU_YEAST	P02992	EFTU_YEAST	TUF1	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	1.0	0.999	17	129	129	158	14	11	15	10	11	11	10	12	5	4	6	5	2	4	4	5	14	11	15	10	11	11	10	12	5	4	6	5	2	4	4	5	16	14	17	13	13	14	12	13	6	6	7	6	4	6	5	6	394214.12	367265.03	312672.06	316094.12	385139.53	311630.12	308923.2	393547.4	162860.75	164376.95	142323.81	190925.83	170742.1	146823.11	145240.48	247885.95	60435.484	62431.086	61668.26	61581.598	61711.59	61933.816	60346.273	62703.37	38837.707	37272.805	37614.52	38974.492	38776.82	38684.953	37803.594	38057.074	
sp|P02994|EF1A_YEAST	P02994	EF1A_YEAST	TEF1	458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor 1-alpha	1.0	0.999	36	1454	1454	2215	101	100	109	108	106	113	113	112	71	70	72	72	76	73	82	76	101	100	109	108	106	113	113	112	71	70	72	72	76	73	82	76	148	149	159	159	163	165	159	164	118	114	114	121	124	113	125	120	8117108.5	8653269.0	9510746.0	9475899.0	9291671.0	9525313.0	9579104.0	8912964.0	4701854.0	4876244.5	5051961.0	4909557.0	4955138.0	4915878.5	4934221.0	4946873.0	1035094.1	1176099.5	1276112.5	1280249.5	1226403.4	1251228.0	1247827.8	1191555.9	686369.94	730589.06	721380.7	708557.56	689806.06	700763.9	717273.94	716487.2	
sp|P03004|DNAA_ECOLI	P03004	DNAA_ECOLI	dnaA	467	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Chromosomal replication initiator protein DnaA	0.9452	0.9984	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8888.869	0.0	18421.955	18286.549	7926.7925	18407.6	0.0	15475.691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8888.869	0.0	18421.955	18286.549	7926.7925	18407.6	0.0	15475.691	
sp|P03023|LACI_ECOLI	P03023	LACI_ECOLI	lacI	360	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Lactose operon repressor	0.9999	0.999	3	14	14	14	0	0	1	0	0	0	0	0	1	2	2	1	2	2	2	1	0	0	1	0	0	0	0	0	1	2	2	1	2	2	2	1	0	0	1	0	0	0	0	0	1	2	2	1	2	2	2	1	0.0	9061.53	0.0	0.0	0.0	0.0	0.0	0.0	24664.84	22988.66	22657.273	11022.206	27177.805	25636.938	24432.086	10766.658	0.0	8580.603	0.0	0.0	0.0	0.0	0.0	0.0	13313.169	12244.916	12306.229	13602.8	14485.196	13618.115	13027.895	13287.421	
sp|P03024|GALR_ECOLI	P03024	GALR_ECOLI	galR	343	Escherichia coli (strain K12)	1:Experimental evidence at protein level	HTH-type transcriptional regulator GalR	0.9655	0.999	1	8	8	8	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	4079.6057	5076.234	5197.0776	4844.338	4747.0303	4575.42	4046.4114	3796.7512	13591.907	11452.563	12235.843	13138.622	11815.793	13387.228	12622.769	12413.723	4079.6057	5076.234	5197.0776	4844.338	4747.0303	4575.42	4046.4114	3796.7512	13591.907	11452.563	12235.843	13138.622	11815.793	13387.228	12622.769	12413.723	
sp|P03817|MIOC_ECOLI	P03817	MIOC_ECOLI	mioC	147	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Protein MioC	0.9655	0.999	1	25	25	25	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	12546.805	18904.484	24785.92	25237.182	23656.705	23565.736	20258.242	19852.865	62359.188	60610.926	56495.785	62921.613	65283.746	65016.227	49286.7	67132.39	12546.805	18904.484	24785.92	25237.182	23656.705	23565.736	20258.242	19852.865	62359.188	60610.926	56495.785	62921.613	65283.746	65016.227	49286.7	67132.39	
sp|P03841|MALM_ECOLI	P03841	MALM_ECOLI	malM	306	Escherichia coli (strain K12)	3:Protein inferred from homology	Maltose operon periplasmic protein	1.0	0.999	8	87	87	87	2	2	1	2	5	1	1	2	9	10	9	8	8	11	7	9	2	2	1	2	5	1	1	2	9	10	9	8	8	11	7	9	2	2	1	2	5	1	1	2	9	10	9	8	8	11	7	9	89699.25	115701.26	112598.71	135470.78	56301.53	142837.14	54006.812	51588.14	227730.8	280431.8	255345.4	289729.7	264495.06	237117.45	249791.73	255845.28	44428.82	36827.895	39896.47	42727.957	31154.068	36710.41	35921.125	29971.65	69680.945	77105.56	79364.33	73592.47	76199.65	70330.02	75483.78	73360.24	
sp|P03872|REP2_YEAST	P03872	REP2_YEAST	REP2	296	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Partitioning protein REP2	0.9592	0.9988	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14300.002	13319.442	7474.2393	12404.952	10164.346	15488.411	10791.358	6965.7144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14300.002	13319.442	7474.2393	12404.952	10164.346	15488.411	10791.358	6965.7144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P03928|ATP8_HUMAN	P03928	ATP8_HUMAN	MT-ATP8	68	Homo sapiens	1:Experimental evidence at protein level	ATP synthase F(0) complex subunit 8	0.9999	0.999	2	19	19	19	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	109861.22	54204.125	38846.152	33964.066	33622.76	64360.234	32698.25	90017.85	30647.963	38668.45	39086.7	36505.582	43712.227	48445.758	34669.15	88536.16	51482.984	36238.61	44715.207	39095.516	38702.645	30155.432	37638.453	42939.33	35278.4	44510.656	44992.098	42021.01	30438.848	33695.97	39907.12	46614.074	
sp|P03965|CARB_YEAST	P03965	CARB_YEAST	CPA2	1118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Carbamoyl phosphate synthase arginine-specific large chain	1.0	0.999	22	149	140	168	8	12	13	18	17	18	12	15	7	7	3	2	6	3	5	3	7	12	13	18	17	18	12	15	5	5	2	1	5	3	4	3	9	14	14	20	18	20	14	16	8	7	4	4	7	3	6	4	300226.94	424051.06	370473.84	398512.28	483935.97	302628.2	402903.72	308482.78	542939.0	592048.5	370670.0	525131.3	495477.6	406851.22	319089.84	254494.83	111955.52	155120.61	138613.78	148004.47	153839.16	146852.52	150645.17	149684.25	88501.29	82902.14	88520.52	90607.48	91682.98	85526.22	86470.79	86492.836	
sp|P04004|VTNC_HUMAN	P04004	VTNC_HUMAN	VTN	478	Homo sapiens	1:Experimental evidence at protein level	Vitronectin	0.9997	0.999	3	6	6	6	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0.0	9210.608	16545.871	8896.241	15434.2705	0.0	0.0	12135.828	49614.562	30046.479	35838.42	48445.535	32772.625	31712.762	0.0	33042.445	0.0	12598.306	22631.508	12168.313	25516.766	0.0	0.0	16599.434	26738.564	26720.736	31871.59	28014.43	29145.135	28202.584	0.0	29385.09	
sp|P04036|DAPB_ECOLI	P04036	DAPB_ECOLI	dapB	273	Escherichia coli (strain K12)	1:Experimental evidence at protein level	4-hydroxy-tetrahydrodipicolinate reductase	1.0	0.999	7	44	44	44	0	0	1	0	1	0	0	1	5	7	4	5	3	5	7	5	0	0	1	0	1	0	0	1	5	7	4	5	3	5	7	5	0	0	1	0	1	0	0	1	5	7	4	5	3	5	7	5	14943.533	33431.46	43138.227	50379.94	39543.707	16104.706	19785.275	20350.207	154365.33	162699.98	151224.48	164383.62	143775.45	151995.95	160386.86	148661.98	14823.062	16858.793	20416.426	20432.336	19141.107	19737.533	17736.879	17779.143	48822.258	51319.02	53233.766	52770.04	48957.08	52458.152	49671.336	51526.03	
sp|P04037|COX4_YEAST	P04037	COX4_YEAST	COX4	155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 4, mitochondrial	0.9655	0.999	1	7	7	7	0	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	17704.959	18439.15	17492.244	17657.93	15792.631	19829.871	17787.312	17653.537	0.0	7456.074	9089.919	9337.838	4632.9775	8575.024	0.0	0.0	17704.959	18439.15	17492.244	17657.93	15792.631	19829.871	17787.312	17653.537	0.0	7456.074	9089.919	9337.838	4632.9775	8575.024	0.0	0.0	
sp|P04046|PUR1_YEAST	P04046	PUR1_YEAST	ADE4	510	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Amidophosphoribosyltransferase	1.0	0.999	5	52	52	52	4	3	3	6	5	4	3	5	2	3	2	3	2	2	2	3	4	3	3	6	5	4	3	5	2	3	2	3	2	2	2	3	4	3	3	6	5	4	3	5	2	3	2	3	2	2	2	3	136117.97	128381.44	100835.68	152563.2	107755.29	123890.984	104788.99	123839.8	60819.008	57418.875	47460.61	48674.605	48798.207	60010.367	46439.195	60460.44	43983.508	45131.715	41769.277	45695.055	46569.832	42189.793	44052.234	42587.402	24228.084	23614.555	23134.72	23693.518	23963.07	24501.283	21556.541	24777.658	
sp|P04049|RAF1_HUMAN	P04049	RAF1_HUMAN	RAF1	648	Homo sapiens	1:Experimental evidence at protein level	RAF proto-oncogene serine/threonine-protein kinase	0.9998	0.999	2	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89693.805	15438.395	95353.26	18149.531	0.0	14864.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89693.805	15438.395	95353.26	18149.531	0.0	14864.088	sp|P10398|ARAF_HUMAN
sp|P04050|RPB1_YEAST	P04050	RPB1_YEAST	RPO21	1733	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB1	1.0	0.999	23	97	97	98	7	8	10	11	10	12	11	13	1	2	4	2	2	2	1	1	7	8	10	11	10	12	11	13	1	2	4	2	2	2	1	1	7	8	11	11	10	12	11	13	1	2	4	2	2	2	1	1	204457.36	189343.42	241561.44	263855.12	234458.69	273034.8	245907.22	288412.2	94469.34	65155.617	71858.914	86053.12	95789.0	91331.7	79775.94	99216.59	22425.178	23195.06	22136.836	21988.633	22571.893	22446.875	22943.594	21368.506	13185.366	11927.307	11553.232	12072.839	12262.754	13066.654	11392.792	12225.692	
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	Homo sapiens	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	49	2514	719	2514	161	147	149	151	156	146	154	156	167	159	168	155	155	166	160	164	41	47	43	42	41	40	38	43	51	52	49	44	46	46	49	47	161	147	149	151	156	146	154	156	167	159	168	155	155	166	160	164	1.1554121E7	1.2971052E7	1.3827988E7	1.2902629E7	1.3046611E7	1.2714717E7	1.3186301E7	1.3101572E7	1.3208669E7	1.3709148E7	1.3380375E7	1.3797471E7	1.3275893E7	1.3450577E7	1.3401151E7	1.3709732E7	1056092.1	1090733.0	1143050.5	1091953.0	1106412.9	1071566.2	1088133.1	1107939.1	1140199.9	1165300.1	1146822.5	1139576.2	1139584.0	1143071.0	1143578.4	1132771.4	
sp|P04076|ARLY_YEAST	P04076	ARLY_YEAST	ARG4	463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Argininosuccinate lyase	1.0	0.999	4	21	21	21	1	2	2	3	1	3	3	2	0	1	1	0	1	0	1	0	1	2	2	3	1	3	3	2	0	1	1	0	1	0	1	0	1	2	2	3	1	3	3	2	0	1	1	0	1	0	1	0	36496.53	343775.6	363992.8	48789.78	33988.15	47517.04	381737.28	329861.0	350900.97	341536.4	13990.745	6400.9688	12919.253	369750.16	18143.252	14820.144	31954.977	97264.49	104919.46	65265.61	72854.04	61869.68	105973.36	112320.34	84621.11	149490.27	15694.362	58725.414	17524.82	59512.867	23982.66	13347.397	
