Genes	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-D10_1_8450.d
CYP4V2	5	5									1270.24	1908.54	1855.15	1995.06	1615.89	1367.85	1667.15	1451.88
CYP51A1	12	12	9046.55	9064.07	12070.4	9004.98	7779.89	7235.22	5922.6	6164.85	8040.72	9556.95	8583.97	8415	5381.04	4976.51	6078.91	5772.98
CYRIA	4	4	1004.18	410.268	894.051	508.288					4772.92	5617.91	4865.34	4939.19	2677.2	2777.06	2735.27	2997.93
CYRIB	14	14	21650.2	25354.3	28218.3	26037.3	27503.5	51461.1	36216.5	29884.9	166588	162372	185129	145295	159044	201313	194570	187177
CYSTM1	2	2									7800.69	4763.87	6690.4	5220.63	1664.8	1373.07	2079.84	2767.17
CYTH1	6	6				1257.3					3226.71	3395.56	3363.13	3428.17	2536.41	2162.67	2249.95	2931.17
CYTH4	8	8									16120.2	18854.9	15326.4	17833.5	12517.1	8709.09	11722	11541.8
CZIB	2	2	27700.6	16626.9	22108.3	17742.7	13494.2	10273.1	12390.6	12260.6	26194.9	36095.5	31527	28017	23911.5	33600.6	29429	29125.8
Carbonic	12	12	2472.72	1549.26	2928.88		55689.9	52470.8	38527.9	45452.5	56418.1	47743.7	40111.6	50960.2	98390.6	54829.2	99452.9	104524
Catalase	20	20	24482.6	20059	32831.7	23486.6	58307.6	35351.6	43316.3	41260.3	80759.1	93035.2	95252.7	87058.9	64928.7	60939	68620.7	73534.6
Cathepsin	16	16	289061	254688	320328	257443	178010	205699	175846	182586	2.86985e+06	2.63446e+06	2.4183e+06	2.50653e+06	932186	935584	949368	810028
Creatine	4	4										6690.54						
Cytochrome	11	11	29879.4	41066	67963.9	45193.4	18878.3	22948.1	14250.7	15019	42206.7	62370.8	52413.2	39464.2	59366.1	69725.8	70455.7	54904.3
D2HGDH	2	2					1932.1	2386.96	1361.04			5745.64		7645.72		2750.67	2679.45	5453.86
DAAM1	5	5	2956.27	2768.56	3432.17	2992.32		1927.29			2827	3884.54	2977.08	2822.3	2656.13	1397.32	1575.21	2261.47
DAAM2	5	5	2416.66	2624.24	2369.39	2312.63												
DAB2	19	19	34434.8	33902.3	35884.3	37619.3	4311.88	2862.28	3395.76	2878.71	138239	174120	124595	149868	23964.3	21463.5	25574.1	25196.4
DAB2IP	4	4	2647.09	2772.34	2466.78	2987.64	1404.25	2029.16	1623.8	1541.47								
DACT1	1	1	397.993	273.742	368.429													
DAD1	4	4	23654.3	25851	24411.8	27722.2	16214.7	18203.4	10463.2	8796.89	34530.4	33983.8	25068	26400.8	22153.1	29851.8	31599.6	24497.3
DAG1	9	9	6070.26	7845.6	7900.35	8006.12	8036.25	7464.45	7857.69	5540.23	2378.46	2338.59				2620.62		
DAGLB	10	10	2499.59	2607.31	2944.04	2033.64		2102.68	2454.05	1575.02	7004.13	7293.99	6736.21	6833.98	4622.27	4598.92	5281.8	5124.34
DAP	1	1	3695.35	3551.28	3570.05	4544.01	1230.23	2208.99	1803.06	1437.03	1779.02	1860.69	1291.92	1921.01	1131.75	667.054	1583.88	1518.81
DAP3	10	10	9246.14	8252.33	8417.93	7515.04	11393.2	12392.9	7962.74	9410.28	14751.1	12565.5	14182.6	15458.3	19366.5	18766	22565.9	21015.5
DAPK1	12	12	3077.23	3370.01	4010.52	3781.51	454.774	624.682			3686.95	3855.61	3719.53	3792.97	3329.75	3477.13	4162.48	3863.92
DAPK3	9	9	10764.2	11371.3	9922.42	12629.5	11656.6	7234.77	9927.31	7459.33	4014.64	5454.94	5453.18		3107.85	3584.22	4031.23	
DAPP1	2	2	1359.05				1598.2				3255.19	2427.09	4328.56	3670.93	3284.07	3983.79	3179.92	3554.42
DARS1	21	21	60844.3	68775.4	76647.6	78106	83922.9	83661.3	81758.2	73665.7	92511.8	91988.9	85251.5	91508.3	86468.3	99614.4	111030	94683.4
DARS2	12	12	6607.35	6706.45	9196.26	8108.17	8525.42	10145.1	9697.65	9130.7	17641.4	17402.6	16981.1	15945.7	19583.5	17061.4	19390.4	17853.3
DAXX	2	2	1881.8	793.068	1518.04	1914.43					1164.22	1710.97			1357.25	1428.97	1356.54	1314.77
DBI	3	3	3540.36	3340.84	5234.62	2580.5	9139.44	4308.21	3599.59	4883.07	38498.9	28820	46305.9	23635.9	37420.9	32366.2	54949.8	41719.8
DBN1	16	16	83139.8	112656	132526	119917	33628.1	37510	38508	34035.4	6750.24	3498.77	14942.3	4636.04	6382.02	5392.84	7967.88	9148.24
DBNL	15	15	11117.7	10664.1	11139.9	10687.7	7090.44	6274.62	7508.77	6143.95	13219.7	13293.8	12083	14127.5	16423.8	16214.3	17726.7	16877.9
DBR1	7	7	6846.12	6056.46	7663.09	7123.44	10709.5	9229.96	10650.2	7946.98	8987.16	8448.15	8682.97	8829.58	9183.62	8630.74	10139.9	8329.95
DBT	8	8	3690.49	3503.16	3334.48	4085.89	3170.01	3324.5	3781.63	2252.01	5122.89	5239.81	3762.17	4979.53	5081.97	5336.74	5667.81	4520.36
DCAF1	17	17	2149.74	2253.72	2369.5	2406.21	4389.32	4939.43	5197.53	3817.05	3744.14	3945.04	3632.33	3968.09	3575.08	3719.67	3643.9	3466.34
DCAF11	3	3	816.182	449.172	905.022	492.074	687.582	590.639	794.881	855.79	790.354	804.75	830.831	854.383	753.937	562.018	599.78	882.875
DCAF13	4	4	2618.6	2715.36	3719.27	3359.56	4693.33	3713.08	3533.24	2843.02	3329.51	3436.75	2853.74	3774.04	3184.15	4205.99	4503.34	4414.58
DCAF5	4	4	2284.68	1967.11	2292.42	2481.35	1668.92	1446.5		1540.74	2279.17	2116.56	1903.06	2412.01	2342.61	2199.98	1999.97	1912.62
DCAF6	3	3		1556.65	2198.7	2133.08	2154.63	1244.88	2463.82	1839.2	2537.58				1504.02	2284.81		4701.39
DCAF7	5	5	2158.94	2803.06	4132.04	3200.49	1299.93	1539.9	1236.75	1350.61	3250.32	3718.7	3360.85	2998.34	2724.16	3162.67	3108.77	3090.86
DCAF8	3	3	1375.71	1732.73	2406.07	2373.95	1602.58	1010.87	1620.72	770.397	1163.24	1664.62	1590.14	1103.9	1209.82	1291.46	1197.14	1397.05
DCAKD	12	12	16666.6	17334.9	19700.7	17569.9	10728	12007	14384	13583.4	10027.2	11017.6	9857.64	8734.5	10699.8	9819.23	10830.9	10350.9
DCD	6	6	331797	269386	415303	89209.1	476905	335542	442126	304213	548790	297669	446332	506329	484161	408040	160582	456832
DCK	6	6	7485.27	5866.88	5492.21	6347.35	12498.1	11518.7	11522.1	10550.8	15886.9	14071.8	13159.5	16726	11159	10831.4	12595.2	12911.5
DCLK1	9	9	4632.83	3330.99	3563.91	2307.28	28194.3	37146.4	23845.5	28864.3				26656.1				
DCLK2	11	11	1251.76	1247.64	1254.14	1384.53	1390.81	1227.22		758.792	2889.63	2837.18	1787.46	2983.32	4513.19	4127.18	3918.79	5065.64
DCN	2	2	4869.62	5372.66	4734.13	5270.82							1171.16					
DCP1A	8	8	2591.34	2594.84	2832.06	2872.87	2553.07	3450.94	3050.09	2463.07	3267.77	3789.11	3139.44	3103.08	2804.29	2753.62	3311.91	2714.72
DCP1B	5	5	1768.12	1486.84	1649.54	1433.97		695.382			1325.23	1344.48	1938.73	1813.78	1734.71	1331.02	1304.03	1533.9
DCP2	2	2						346.989			1458.55	1175.89	1452.5	1854.09	1510.59	1549.53	1409.42	1682.04
DCPH1	13	13	8821.02	7483.76	8170.81	6296.69	5451.8	5678.03	4689.44	3737.86	17633.8	17672.8	17102.4	17524.3	15414.2	15951.2	21307.9	19276.1
DCPS	8	8	6640.09	5894.51	6779.83	7026.76	8502.97	10865.8	7517.98	9579.27	7706.66	8168.15	9054.39	8449.22	6026.62	7393.56	8051.51	6964.77
DCTD	4	4	13617.6	11789.2	12013.5	15909.3	17103.1	18264.1	13028	14135.4	8747.81	8131.49	8447.47	7415.57	5721.05	6160.22	7551.67	6481.39
DCTN1	35	35	15950.4	16981.6	17663.3	19179.5	9947.78	10182	8863.83	8987.57	18944	18847.5	19981.3	19492.6	14549.6	15964.4	17166.1	16204
DCTN2	16	16	26532.1	28426.8	28943.5	33534.7	18605.7	20397.4	18142.9	16542.5	29286.7	28444.3	29222.7	29720.2	20973.5	20370.4	23475.4	24109.4
DCTN3	4	4	11803.2	12458.8	11009.7	17155.7	14213.8	14186.9	12351.3	12646.6	18337.6	18667.2	10570.9	12705.4	14052.5	15489.9	18055.2	14650.6
DCTN4	7	7	10817.3	9232.09	13502.3	8529.72	7730.36	8777.98	8009.31	7359.92	12991.5	12456.1	14117.4	12388.3	9381.54	9351.64	9894.33	10589.5
DCTN5	2	2	3051.16	2432.53	2869.23	2799.7	1904.55	1213.97		1527.77	2163.19	2927.63	2469.35	2228.63	2238.26	2234.55	2068.71	1359.08
DCTN6	2	2		3340.07		3115.29	4039.06	4131.17	2623.86	2587.18	4426.16	2377.46		3035.83	4750.33	2920.07	3091.73	1928.04
DCTPP1	7	7	6989.74	5855.91	5796.69	6875.55	10059.6	12745.5	9341.12	9433.11	7766.57	7867.63	6272.44	5940.56	5321.46	10088.5	9614.62	7776.17
DCUN1D1	4	4	3811.25	3861.67	4655.97	4462.03	2791.46	3017.6	3524.99	3142.28	6851.61	9566.61	7333.19	6268.11	8486.33	11155	10255.2	8820.96
DCUN1D3	3	3	5463.25	4745.54	4985.46	5210.95		2416.98										
DCUN1D5	5	5	1894.89	2265.45	1927.6	2726.71	2649.1	2331.13	2439.97	2258.5		2103.94	1906.76		2096.5	1818.29	2015.86	2394.02
DCXR	7	7	19359.8	20806.3	18523.8	17783.4	36454.4	30429.7	23249.1	21604.8	46536.7	39295.9	36112.7	44841.5	41958.3	29359.4	29004.3	30555.2
DDA1	1	1		700.771	1865.47	705.643					1564.27	2495.58	1198.21		1443.93	2815.54	2991.37	2299.29
DDAH1	7	7	7104.46	11546.5	10089.8	12270.9	6448.08	8082.3	7658.83	6479.47	2588.08							
DDAH2	9	9	33062	33660	28135	35799.4	14130.2	12870.4	12582.8	11897.9	30955.9	24158.5	24580.7	26355.7	13454.9	9260.67	9348.67	9768.88
DDB1	31	31	17555.4	14254.4	17770.8	19634.3	23876.9	24058.9	23062	20072.3	19994.3	21899.1	18654.9	20228.9	17323.5	17256.2	18708.5	17124.5
DDB2	3	3		2083.55	1619.78	2191.5	3374.97	3628.86	2947.75	3063.37	2569.09	2894.91	2641.52	2718.67	2746.67	3053.65	3253.59	2384.99
DDHD2	6	6	4040.01	4986.65	4358.18	4895.05	6022.75	3893.25	4342.78	3567.49	3977.35	3170.45	2798.71	2858.16	2500.96	2176.54	3243.37	3971.89
DDI2	7	7	6877.27	7060.42	4935.27	6773.85	6987.95	5427.92	6478.26	5227.67	17370	14913.5	13661.5	16011.1	18416.6	15454.4	19155.6	18034.8
DDIT4L	1	1									8716.68	9699.29	6630.5	9651.83				
DDOST	15	15	209464	216203	242738	230758	88467.9	89198.7	91048	87112.2	140666	167236	151123	157604	129395	133331	144290	130861
DDR1	3	3					3900.27	2883.61	2391.35	1359.83								
DDR2	5	5	3084.34	3338.99	3883.58	3099.64	1146.3	1023.49	1380.54	1681.69								
DDRGK1	9	9	10797.6	11596.9	11454.4	11674.4	8204.97	8621.26	5182.26	5009.78	13831.3	13475.9	14265.9	16170.7	13508.2	13479.6	14594.4	16270.7
DDX1	22	22	118919	110943	103338	105703	66008.7	64850.3	55029.7	40043.5	70655.1	57174.8	66338.7	63477.6	68222	63046.9	71369.6	74611
DDX10	15	15	4206.1	3618.98	4252.03	4112.33	4593.61	4749.82	4571.85	4127.48	3529.81	3529.77	3543.4	3692.73	4244.05	3196.45	3548.19	3696.69
DDX17	14	14	35538.8	42991.7	58535.1	44435.5	60868.5	40288	53571	53204.7	48694.3	69809.4	64969.8	48397.2	46093.3	70857	67218	57703.5
DDX18	15	15	10700.3	9813.7	11972.6	12043.4	13680.3	12361.5	11651.3	11933.9	9360.5	10570.9	9084.94	9051.82	9871.79	10979.3	10363.4	10210.1
DDX19A	1	1	1045.59	1235.23	843.276	1431.22	2238.85	2043.98	1977.04	2274.58	2372.1	2219.35		1473.48	1879.73	2436.76	2726.98	2029.85
DDX19B	1	1	832.23	913.674	1065.64	1287.48	684.651	890.806			902.553	739.035	1241.06	952.982	811.609	787.1	1109	930.852
DDX20	14	14	3816.35	3697.3	4069.13	4439.81	5437.95	4249.4	4498.17	3703.8	3880.24	3879.26	4247.48	4565.08	4119.12	3644.36	3850.59	4305.55
DDX21	29	29	24487.1	20592.3	25752.8	23993.1	42340.5	38193.3	39229.3	36203.2	14661.2	13183	11270.5	13508.5	17251.6	18319.4	17339.2	18137.7
DDX23	17	17	14234.7	15902.7	16037	16580.4	20526.6	17421.9	18849.4	18704.2	13722.2	15080.8	12386.5	13861.9	13786.5	14169.6	15212	14641.5
DDX24	15	15	5848.74	5604.37	5871.65	6247.25	3578.27	3603.39	4397.09	3672.47	4666.89	4844.27	4282.11	5085.46	4286.91	4673.53	4178.1	4515.18
DDX27	20	20	11020	9615.3	9835.83	10728.2	12266.3	11268	12045	11712.9	9880.58	9135.03	8217.77	9606.95	10297.6	9922.1	9928.94	9488.2
DDX28	11	11	988.32	1110.41	1556.04	970.092	2751.01	2606.6	2291.33	2442.45	1986.47	1939.37	1928.85	1822.59	2496.33	2503.15	2751.15	2771.63
DDX31	9	9	3833.54	4009.17	3793.49	3935.58	3065.83	3264.41	4051.15	3138.97	3740.04	3693.34	3589.85	4898.52	4379.84	3708.11	3833.06	4219.26
DDX39A	4	4	13077.2	16888.5	14002.9	22485.9	23509.9	20563.2	21966.5	21837.4	27778.2	34460.8	23160.1	33228.9	26209	31216.4	21847.1	20487.1
DDX39B	5	5	86312.2	114666	96967	102983	102841	109659	100356	112401	61463.7	75532.1	53295.2	69064.6	53331.5	61943.4	69693	72796.2
DDX3X	11	11	36955.9	38426.2	35533.3	43349.3	38581.8	40381.2	38839.4	38184.5	35091.4	38107.6	28883	32037.3	34508.3	30239.2	31814.1	31544
DDX3Y	7	7	10015.5	9600.38	9028.73	8045.24					6990.52	6906.07	6596.09	8062.26	7321.18	6540.3	6357.63	8306.41
DDX41	12	12	3332.31	3284.49	3388.99	3600.88	6449.6	5601.34	5088.75	4222.73	4105.36	3934.04	3574.85	3594.35	4390.74	4957.73	4700.74	5248.45
DDX42	24	24	15629.3	15826.8	16100.5	15936.1	16889.1	17947.9	16808	16561.7	13578.7	11581.7	11392.4	13342.7	12845.9	13311.5	13815.8	12736.6
DDX46	23	23	13139.3	9672.89	10861.8	10982.4	14392.2	12650.7	14705	11902.9	12208.8	11310	12016.8	10956.6	12746.1	11562.1	13554.8	13675.5
DDX47	7	7	7868.5	7609.49	7652.18	7764.41	17372.7	15267.5	16316.5	15585	8098.33	7017.32	6046.63	6302.74	8597.94	7507.3	7594.88	7676.52
DDX49	5	5	3975.54	4193.19	5521.9	4694.71	3951.12	5287.27	4088.83	4417.53	5894.46	5560.23	5078.03	5285.62	5497.24	5095.66	5566.63	5730.25
DDX5	17	17	59633.5	57187.5	74335.5	60880.3	61987.5	63235.5	69389.1	72785.6	77919	78383	79643.8	69623.5	88594.8	98456.8	100253	93154.8
DDX50	12	12	9483.88	9447.1	9318.98	8739.57	16085.8	14616.7	13552.2	14135.9	5431.53	5660.19	5926.53	5658.59	5276.06	5255.7	4682.05	6672.36
DDX51	9	9	3368.57	3306.12	3679.26	3197.96	4634.39	4576.61	4258.73	3744.28	3519.88	3375.21	3138.34	3800.72	4092.52	3897.23	3794.67	4046
DDX52	5	5	4996.8	4165.74	5007.7	4327.27	5013.55	4348.01	5167.28	4783.1	3405.91	3158.73	2672.31	3854.47	3954.44	4642.78	4014.18	4935.52
DDX54	18	18	7175.61	6347.38	6910.94	6933.46	9912.38	9615.59	8522.49	8372.35	6387.07	6703.18	5466.02	6395.43	6473.73	6400.09	6717.61	6251.14
DDX55	5	5	911.603	1103.44	960.265	772.99	1606.54	1368.76	1241.74	1304.98	1646.89	1215.87	1534.99	1453.54	1052.89	1272.11	1305.96	1468.13
DDX56	8	8	5310.52	5013.15	5302.95	6100.29	5562.61	4506.62	5347.61	4834.14	5356.53	4425.82	4776	5447.49	6020.39	5218.41	6005.9	5434.37
DDX59	3	3	4463.28	2389.82	1046.99	2089.49		3380.39		4294.44	3386.72	3163.25	3084.01	1655.3		2720.85	2830.77	2590.85
DDX6	17	17	21796.7	18798	18879.6	20424.9	17078.9	15605.7	12495.2	12364.7	19731	19579.8	17184.9	19064.7	22206.7	21697.6	24207.6	24434.7
DDX60	19	19	4184.62	4032.69	3952.05	4012.45	3636.98	3391.06	3653.52	3514.04	6130.34	6785.53	5854.05	6845.85	4891.59	5507.56	4851.14	5396.83
DDX60L	11	11	2708.69	2656.43	2651.82	2641.05		479.44			2468.19	2646.87	2766.62	2714.27	3168.08	2837.56	3301.47	3752
DECR1	10	10	5294.66	7602.81	7484.3	7871.82	41293.9	37307.2	40006.6	40539.3	37328.9	37988	32153.8	34608.4	48527.8	30023.3	38501.8	39872.7
DECR2	7	7	7247.38	6961.31	7741.8	8709.26	3607.39	2551.31	2915.31	2012.33	4432.61	4991.31	4459.14	5741.71	5065	3450.07	3309.57	4037.33
DEF6	8	8									8199.3	8283.6	7470.05	8281.1	8042.05	8305.23	7589.03	9033.99
DEF8	2	2	985.402	942.743		1242.35					3379.36	2207.24		1990.86	1421.29			
DEK	11	11	13713.9	11971.5	12257.8	16374.2	47921.2	55300.8	47809.1	50606.9	21960.4	20352.5	18870.4	22381.7	18114.4	18758.3	21898.1	19012.9
DENND10	1	1	812.019	808.88	1265.84	1018.66	470.106	407.274			2007.46	2955.17	2837.99	2089.33	958.444	1201.31	1277.92	1045.05
DENND11	2	2					644.844	885.935	754.567	540.783	1077.6	1358.08	996.691	1450.99	1303.59	1235.28	1171.28	1432.67
DENND1A	9	9	2193.03	1724.99	1488.82	1461.47	2106.26	1539.72	1700.4	1761.98	3086.27	3361.25	3573.31	3502.1	2171.28	1572.69	1776.68	2574.07
DENND1C	4	4									2705.5	2659.96	2517.63	3296.95	3796.99	2299.09	2475.75	2802.78
DENND2A	2	2	1000.46	1275.46	1630.77	1144.7												
DENND2B	7	7	8991.93	10992.1	10550.5	12951.6	7095.82	6012.9	6690.72	7683.57	4016.09	4268.08	3716.29	4791	3740.58	4505.25	4160.72	3978.51
DENND3	18	18	5555.07	9012.79	3595.34	3172.26	9193.79	9232.01	7022.35	7387.38	20631.8	22630.9	21008.7	22014.7	35656.1	39932.2	39086.8	42965.5
DENND4A	5	5	2567.58	2378.03	2584.57	2004.92	3764.88	4318.76	3446.79	3332.82	3441.86	3533.86	3367.31	4195.33	2512.17	3031.45	3224.13	3887.51
DENND4B	11	11	2225.53	1689.48	2185.58	2375.06					8208.07	8090.94	7899.84	8942.42	6609.31	4832.31	5640.14	6322
DENND4C	27	27	3109.75	3106.02	3035.59	3460.46	3988.46	3249.69	3244.89	3374.98	8850.61	8684.01	7171.69	7651.98	5201.86	5416.86	5961.45	6112.99
DENND5A	3	3	1472.27	1231.03	1415.81	1454.74		782.286	1155.57	846.812						763.962	619.458	1091.23
DENND5B	2	2	1098.41	1003.66	1174.41	1076.75	1257.85	988.241	1466.94	960.436						555.611	662.119	
DENND6A	3	3	1632.5	2188.17	2153.15	1581.49	2238.68	2604.84	3421.39	2452.35	3239.58	2680.66	2403.56	2787.81	2218.55	1481.64	1342.92	2738.93
DENR	6	6	10401.4	13694.7	10428.4	16372.6	9192.81	11449.9	11158.2	11318.3	8863.9	10347.9	8155.11	9543.01	8182.22	9323.29	10727.7	9206.78
DEPDC5	2	2		1008.69							2595.88	2449.53	4180.85	2541.87	3417.93	2113.8	2268.44	4240.42
DEPTOR	1	1													1577.33	1636.6	2077.93	
DERA	9	9	9767.9	11042.6	10677.9	11827.8	5822.24	5976.65	7046.41	5131.74	28553.3	30452.9	29255.5	31968.9	18422.6	20842.2	21349	21437
DERL1	2	2	6682.29	7940.78	12435	7829.4	4901.01	4002.41	4413.71	4021.42	21794.9	27392.7	23563.8	16458.3	17723.4	17525.7	23502.7	20729.3
DERL2	1	1	2416.01	2911.99	5134.32	3002.63	1508.69	1173.94			5606.21	7076.58	5570.87	5754	4762.72	6705.71	7468.28	5895.25
DERPC	10	10	3119.63	3997.55	4674.71	3917.07	13607.1	11162.1	11158.9	9090.88	4045.21	3608.5	1852.32	2983.36	3700.54	3182	3631.07	3853.32
DES	2	2		2847.33				7219.61										
DESI2	1	1	7688.81	9333.04	13921.3	10830.7		5354.17		2929.76		12814.2				20934		
DFFA	7	7	7349.23	8659.82	9217.35	8198.04	7819.1	7498.19	5608.07	5884.72	9591.83	9722.32	9033.57	8778.96	8011.76	6693.41	7672.38	8389.62
DGAT1	5	5	1656.19	1093.57	888.541	1294.35	1926.54	1274.19	1237.11	1220.45	1991.5	1100.34	2148.8	2094.05	2711.66	844.786	1636.26	2190.7
DGCR8	2	2	2028.11	1825.35	2649.55	1667.26	2506.75	2546.96	2758.96	1754.95	2231.75	1759.35	1840.18	2272.1	1665.27	1725.93	1340.79	2246.08
DGKA	16	16	13631.8	16998.8	13939.7	16711	4503.42	3119.06	3605.49	4550.05	5015.09	5272.69	6226.3	5175.77	6510.01	6320	5999.91	6269.93
DGKI	2	2	2023.41	2096.76	1890.99	2116.88									570.83			
DGKQ	3	3	1317.39	1572.37	1556.76	1781.73	572.038	812.971	639.682	752.025	1152.02	921.185	1114.52	840.3	1012.83	881.428	1165.29	770.048
DGKZ	8	8	1592.41	1438.03	1836.48	1325.28	1159.82	1006.78	814.31	721.927	2599.36	2554.46	3349.44	3497.2	4513.71	2311.59	3024.02	3337.88
DGLUCY	7	7		1191.53	1119.33	1292.32	4593.73	3028.83	3414.94	2818.05	6986	6637.78	5425.91	6905.42	9035.73	5494.95	7331.69	8133.67
DGUOK	4	4	3318.08	3345.7	4525.92	3968.94	4278.81	3933.05	3310.62	2802.43	3067.24	3366.64	2871.65	2901.83	3537.79	3079.44	3361.54	3393.33
DHCR24	8	8	14029.2	16815.4	30307.9	17372.1	15871.1	17100.8	16614.6	16490.7	41010.1	66309.4	41826.5	35893.4	6247.27	12572.1	12467.1	10965.9
DHCR7	4	4	12319.2	12625.1	18353.7	15434.5	18972.7	37931.2	32333	32163.3	27967.5	37514.6	21621.8	21902	5909.28	10609	12938.8	6883.47
DHDDS	4	4	2179.89	1280.95	1617.05	1703.55			1024.05	1385.8		1132.43		1798.03	1562.81	893.596	1301.26	2038.68
DHFR	2	2	1757.24		1213.05	3592.64	2376.28	2701.88	2710.57	3139.47	7257.21	9663.07	5262.92	5944.86	2128.77	2783.7	3689.96	2685.7
DHODH	14	14	3883.1	3744.39	4210.34	4056.73	7242.1	6218.72	6193.31	7180.56	5646.73	5679.1	4943.15	7024.92	6208.59	4854.7	5464.75	5432.25
DHPS	6	6	2136.07	2340.48	1568.8	2185.47	5243.75	5207.72	6556.52	4770.76	1966.23	1711.79	1819.87	1871.84	1538.42	1246.29	1459.85	1254.57
DHRS1	5	5	5162.04	4781.71	6693.96	5928.51		1424.34	1307.13		6217.68	9224.72	6288.6	6068.33	3998.41	3784.15	3628.93	3639.37
DHRS11	3	3					1456.82			819.934	930.304	1300.11	1348.42		1363.7	907.023	968.207	1210.55
DHRS13	1	1	1897.06	1107.58	1131.97				1607.23	1337.84	1383.7	2044.48	1978.82	1882.03	1584.96	1028.44	1268.76	992.146
DHRS3	4	4					4768.56	4727.01	4701.36	4488.05	4634.48	3416.02	4707.96	4905.55	5463.98	6778.11	6358.57	5965.3
DHRS4	4	4	5637.18	6853.56	7371.76	7450.98	3437.16	2188.39	1815.51	2270.98	16730.9	22500.7	19720.5	17402.3	13251.6	12555	11463.3	13007.8
DHRS7	6	6	18661.2	21883.3	27012.2	24350.7	9288.7	11671.8	9490.28	8798.3	29652.6	29505.7	27443.7	28571.9	25938.3	23141.2	27463	29036.4
DHRS7B	8	8	3199.87	2842.08	3521.12	2840.08	1725.47	1878.45	1455.36	1713.68	3889.65	4317.69	3999.53	3912.37	4196.8	3291.6	3948.28	4239.51
DHRS9	8	8									16480	11878.5	16418.2	14485.9	12070.6	9783.17	13848.7	13040.2
DHRSX	5	5	1032.39	751.711	1449.21	1013.95		709.9	396.297	851.275	2930.02	2796.53	3415.34	2869.31	1377.08	1392.98	2101.73	1956.55
DHTKD1	6	6	1231	1406.65	1608.25	1457.37	2869.32	2558.46	2451.19	2941.89	4138.29	5012.8	4496.31	4366.63	3435.41	3940.49	4181.6	3700.66
DHX15	25	25	24907.1	25189.4	25328.7	24658.9	44127.5	40397.1	40574.8	39342.3	29592.9	32158.7	27025.9	27202.7	28718.7	31569.4	31524.5	29871.2
DHX16	12	12	2359.35	1882.14	2637.2	2335.61	3643.94	3784.41	3248.61	2720.19	2951.66	3064.77	2418.12	2574.57	2581.2	3019.45	2768.77	3064.05
DHX29	17	17	7650.04	7367.11	7376.95	8044.18	4135.28	4143.61	4903.93	3770.23	5053.27	4682.63	4219.51	4282.58	4647.15	4442.2	4566.91	4886.73
DHX30	25	25	9268.76	7885.67	9701.07	9424.93	12725.4	11942.5	12606.5	11624.8	7539.47	7631.63	7573.98	7729.8	8811.5	8621.7	9417.57	9396.54
DHX32	3	3	2088.67	2439.22	2647.73	2738.74	3906.53	2310.42	3537.21	2814.53	3209.38	3491.65	3547.79	2566.21	3448.75	2252.67	2104.86	2591.7
