Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-A3_1_12089.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-B3_1_12090.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-C3_1_12091.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-D3_1_12092.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-E3_1_12093.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-F3_1_12094.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-G3_1_12095.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_100pg_S1-H3_1_12096.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-A7_1_12097.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-B7_1_12098.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-C7_1_12099.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-D7_1_12100.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-E7_1_12101.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-F7_1_12102.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-G7_1_12103.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_100pg_S1-H7_1_12104.d
P0ADV5	YHBW_ECOLI	yhbW	Luciferase-like monooxygenase	1	1	415.495	733.818	469.432			565.822			1044.37	1519.24	1378.25	1182.67	1141.07	2005.87		1574.82
P0ADW3	ZAPG_ECOLI	zapG	Z-ring associated protein G	3	3		1070.76	1902.82		1309.08	921.813		1235.26	4481.87	3542.36	3234.34	2495.08	4418.44	2687.54	2903.99	3200.62
P0ADW8	YHEV_ECOLI	yheV	Uncharacterized protein YheV	1	1										618.152	913.943	788.504	393.567	869.331		574.325
P0ADY1	PPID_ECOLI	ppiD	Periplasmic chaperone PpiD	4	4				1043.68					1904.03	1123.82	1772.33	1270.17	1814.55	1988.76	960.049	1072.39
P0ADY3	RL14_ECOLI	rplN	Large ribosomal subunit protein uL14	4	4	10101.7	9290.17	10346.8	7937.68	10530.1	8930.06	10528.6	10573.9	35157.1	32188.6	34814.6	35947.1	34815.3	33576.2	36463.2	32873
P0ADY7	RL16_ECOLI	rplP	Large ribosomal subunit protein uL16	6	6	3828.35	4617.99	4950	4440.38	4556.16	3934.38	4707.3	4569.03	15225.4	16020.6	16853.2	14010	16565.4	16423.6	15044.9	15343.1
P0ADZ0	RL23_ECOLI	rplW	Large ribosomal subunit protein uL23	3	3	3304.05	3198.02	3154.94		4583.6	3604.91	4248	3293.57	12315.7	10372.9	12790.1	9435.04	9701.28	10416.7	9737.98	10637.4
P0ADZ4	RS15_ECOLI	rpsO	Small ribosomal subunit protein uS15	1	1	13909.9	12008.7	14768.8	15066.3	16139.1	14349.9	16021.6	12428.2	51184.1	54392.6	46410.5	53872.1	54580.9	51472.7	53475.1	48563.9
P0ADZ7	YAJC_ECOLI	yajC	Sec translocon accessory complex subunit YajC	2	2		941.387	1308.52	990.405	1286.78	1031.4		971.975	1815.22	2597.72	1943.84	2687.2	2278.59	2906.09	2177.54	1791.4
P0AE06	ACRA_ECOLI	acrA	Multidrug efflux pump subunit AcrA	5	4			911.675	717.791		827.621		1129.45	1403.58	2209.98	1710.18	1810.64	1371.11	2055.49	1696.04	1494.15
P0AE08	AHPC_ECOLI	ahpC	Alkyl hydroperoxide reductase C	11	11	10343.6	10801.6	10149	9622.81	11187	10605.6	9421.2	10341.7	31991.8	31412.9	31559.1	31542.8	34745.2	30194.1	33611.2	32682.2
P0AE18	MAP1_ECOLI	map	Methionine aminopeptidase	4	4	945.778	821.818		860.41	778.572		951.086	1068.31	1467.16	1615.37	1530.75	1359.53	1300.4	1355.68	1478.5	1175.94
P0AE52	BCP_ECOLI	bcp	Peroxiredoxin Bcp	5	5	2209.41	1831.11	1419.81	1743.59	1822.9	2387.19	2272.96	1586.13	5798.81	6124.22	6395.95	5387.26	5407.57	4289.84	5168.91	5637.27
P0AE78	CORC_ECOLI	corC	Magnesium and cobalt efflux protein CorC	2	2		423.855		479.671	441.049				475.159	487.998	800.469		740.665	903.483	835.004	834.975
P0AE88	CPXR_ECOLI	cpxR	Transcriptional regulatory protein CpxR	7	7	2879.85	1826.45	2129.19	1895.59	1789.7	2303.35	2361.24	1634.84	7939.18	7914	7922.59	7556.24	6545.41	6965.81	8132.46	7652.41
P0AE91	CREA_ECOLI	creA	Protein CreA	3	3		1473.05					1768.79	1466.66	2570.38	2497.49	1758.06	2407.23	2258.47	1867.15	2061.8	3311.43
P0AED0	USPA_ECOLI	uspA	Universal stress protein A	4	4	2456.18	2635.53	2660.86	2339.5	2445.47	2321.1	2199.99	2100.27	5087.95	5339.87	6237.68	5870.95	5722.11	5545.34	5722.95	5104.37
P0AEG4	DSBA_ECOLI	dsbA	Thiol:disulfide interchange protein DsbA	5	5	718.983	947.99	1116.1	835.764		1017.36	922.349	1367	2511.66	2480.03	2567.78	1932.32	2180.52	2374.01	1821.02	2796.88
P0AEG6	DSBC_ECOLI	dsbC	Thiol:disulfide interchange protein DsbC	4	4		792.738			843.197		848.009		2176.43	2141.91	2162.15	2014.77	1848.59	2234.15	2349.06	1700.19
P0AEH5	ELAB_ECOLI	elaB	Protein ElaB	1	1				982.908				1200.43								
P0AEK2	FABG_ECOLI	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	6	6	2771.26	2248	3750.11	3635.55	3251.36	3275.16	3406.09	3482.05	10627.7	12335.9	11844.1	11352.8	11309.3	12932.5	11526.3	10098.6
P0AEK4	FABI_ECOLI	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	9	9	2033.33	2185.86	2229.88	2051.22	1978.67	1659	2059.54	2060.19	5390.25	5746.41	6522.79	5757.63	5766.52	6584.04	6172.2	5530.25
P0AEP3	GALU_ECOLI	galU	UTP--glucose-1-phosphate uridylyltransferase	3	3	629.929	595.749	766.794	805.657	637.249		715.71	897.597	2097.83	1873.65	1657.14	2000.24	2359.9	1814.3	1886.69	2242.25
P0AEQ3	GLNH_ECOLI	glnH	Glutamine-binding periplasmic protein	14	14	5721.16	5360.7	5146.35	5088.23	5645.64	4619.16	5375.53	5018.86	16327.7	14545.8	15672.8	14158	14338.7	14830.1	13885.8	13296.1
P0AET8	HDHA_ECOLI	hdhA	7alpha-hydroxysteroid dehydrogenase	5	5	2268.49	1802.72	1290.8	1602.99	1891.34	1541.83	1842.94	1735.35	6175.42	6466.2	5838.32	5862.42	5979.08	5683.32	5016.64	5474.54
P0AEU0	HISJ_ECOLI	hisJ	Histidine-binding periplasmic protein	7	7	2478.11	2011.45	1931.56	2198.35	2210.72	2188.97	2110.59	2476.16	6596.56	6908.48	6705.87	6364.28	6815.59	6880.9	5905.43	5731.83
P0AEU7	SKP_ECOLI	skp	Chaperone protein Skp	5	5	4860.66	4159.2	3442.65	3507.2	4527.49	3594.51	3491.35	4279.39	12356.6	11790.1	11643.5	12600.1	11028.6	10986.9	12039.7	12140.2
P0AEX9	MALE_ECOLI	malE	Maltose/maltodextrin-binding periplasmic protein	19	19	9908.5	9029.77	9178.3	9031.58	9195.22	10372.5	8594.5	8769.69	25175.3	26906.8	27382.2	26759.4	29020.4	27546.5	24520.8	25718.9
P0AEZ3	MIND_ECOLI	minD	Septum site-determining protein MinD	9	9	2049.01	1886.27	1603.95	1724.46	1558.95	1800.28	1313.2	2379.64	4271.69	4120.36	4348.18	4880.59	4074.93	4737.36	4852.73	4436.21
P0AEZ7	MLTD_ECOLI	mltD	Membrane-bound lytic murein transglycosylase D	1	1						1961.05					754.9					
P0AEZ9	MOAB_ECOLI	moaB	Molybdenum cofactor biosynthesis protein B	3	3		746.135	911.856	1074.49	1029.11	859.053	796.801	755.037	2793.28	2971	3242.56	2421.49	2950	2923.84	2605.25	3179.53
P0AF03	MOG_ECOLI	mog	Molybdopterin adenylyltransferase	1	1			559.716	313.729	600.466				703.785	1167.56	1466.84	1195.59	1294.38	1025.06	1641.93	1578.01
P0AF12	MTNN_ECOLI	mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	2	2	1166.94	1661.16	1236.77	1086.5	962.646	1172.6	1010.5	1010.13	3340.89	2726.07	2938.68	2760.67	2915.4	2841.55	2669.01	2711.49
P0AF28	NARL_ECOLI	narL	Nitrate/nitrite response regulator protein NarL	7	7	2155.12	2249.98	1873.7	2786.62	2637.88	2709.32	1931.71	3010.89	6577.97	7694.25	7901.18	7479.35	7285.82	6639.05	7145.42	7462.82
P0AF36	ZAPB_ECOLI	zapB	Cell division protein ZapB	3	3	2333.89	3295.76	3147.14	3376.7	2671.6	2860.6	2893.57	3235.26	8746.89	9287.24	10782.3	11854.8	11877.9	11354	10494.5	9034.39
P0AF50	YJBR_ECOLI	yjbR	Uncharacterized protein YjbR	3	3			1235.93	828.222	982.278		863.953	929.697	2909.48	2887.95	2040.47	3231.98	3405.98	3191.5	3090.45	2851.7
P0AF90	RRAB_ECOLI	rraB	Regulator of ribonuclease activity B	1	1		736.936				942.39	704.206			997.028	1182.25	1161.91	944.442	811.183	1204.62	927.915
P0AF93	RIDA_ECOLI	ridA	2-iminobutanoate/2-iminopropanoate deaminase	6	6	8767.4	7314.06	6796.9	7465.74	6692.03	6799.81	6307.33	7170.18	24946	25607.8	24232.9	24338.5	24746.5	26242.4	27585.7	24346.3
P0AFC7	NUOB_ECOLI	nuoB	NADH-quinone oxidoreductase subunit B	2	2	1002.3						731.496	942.283	2865.28		2657.31	1846.55	2271.89	2664.83	1829.44	2396.06
P0AFD1	NUOE_ECOLI	nuoE	NADH-quinone oxidoreductase subunit E	2	2	2261.31		2231.05	2400.49		3417.17	2473.81	2523.6	7064.53	6048.87	6349.96	6324.41	8651.08	9676.5	8178.9	6659.25
P0AFF6	NUSA_ECOLI	nusA	Transcription termination/antitermination protein NusA	11	11	1093.33	847.124		823.596	860.654	1024.54		1172.19	2056.89	1921.66	2594.9	2263.38	2584.53	2270.59	2243.7	2308.62
P0AFG0	NUSG_ECOLI	nusG	Transcription termination/antitermination protein NusG	6	6	3049.33	2766.43	2751.07	2739.74	2543.94	2451.59	1949.75	2842.26	8624.06	7670.88	8333.24	8307.12	9064.33	8007.32	7696.26	7335.94
P0AFG3	ODO1_ECOLI	sucA	2-oxoglutarate dehydrogenase E1 component	3	3								284.521	724.359	452.276	423.612	581.036	503.932	622.843	484.642	317.027
P0AFG6	ODO2_ECOLI	sucB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	13	13	6301.06	5693.06	5167.14	5029.11	5752.13	5720.48	5817.29	5076.05	17252.3	17533.4	18407	16803.8	16974.3	19184.3	15642.6	16991.2
P0AFG8	ODP1_ECOLI	aceE	Pyruvate dehydrogenase E1 component	19	19	2032.07	1821.23	2297.34	1983.77	2360.03	1685.37	1969.32	2574.83	6624.82	6000.43	6593.96	6833.55	5950.57	6814.54	6520.42	6260.77
P0AFH8	OSMY_ECOLI	osmY	Osmotically-inducible protein Y	6	6	4659.94	4169.99	4060.18	4346.91	4270.3	4410.49	4282.12	4187.92	14566.5	15741.2	14737.6	14508.1	15485.3	15426	16041.9	16180.9
P0AFI7	PDXH_ECOLI	pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase	1	1									590.738	1206.71	1911.57			1387.79		687.483
P0AFJ1	YJDM_ECOLI	yjdM	Phosphonoacetate hydrolase YjdM	4	4			1479.42	1571.12		1671.73		1223.87	3205.06	3994.58	3077.45	3257.53	3370.1	3658.69	3003.81	3158.75
P0AFK9	POTD_ECOLI	potD	Spermidine/putrescine-binding periplasmic protein	6	6	873.518	1025.14	1356.46	1445.45	1229.16	1238.31	1128.72	971.466	3211.58	3548.04	3401.59	3708.03	3431.5	3733.76	3067.82	3720.37
P0AFL3	PPIA_ECOLI	ppiA	Peptidyl-prolyl cis-trans isomerase A	3	3	2062.24	1996.77	2121.12	1903.76	2231.98	2688.62	1616.01	1476.27	9506.15	8980.33	9996.6	6236.58	6707.68	6797.64	6689.11	7193.63
P0AFM2	PROX_ECOLI	proX	Glycine betaine/proline betaine-binding periplasmic protein	9	9	7745.68	9013.87	7861.78	8693.35	8653.09	7470.19	7835.99	9289.81	23784.5	23335.6	24815.7	22187.7	25567	25463.1	22853.4	24492.5
P0AFM6	PSPA_ECOLI	pspA	Phage shock protein A	6	6	1914.15	1663.43	1712.9	1532.42	1732.22	2082.56	1744.25	1738.5	3813.02	3546.9	3272.57	3866.14	3553.23	4197.47	4243.23	4048.9
P0AFR4	YCIO_ECOLI	yciO	Threonylcarbamoyl-AMP synthase YciO	5	5	1312.57		1046.56	906.03		1093.62	1057.41	942.685	2212.39	2781.94	2352.34	2679.8	2316.28	2521.02	2686.58	2145.69
P0AFU8	RISA_ECOLI	ribC	Riboflavin synthase	3	3						1804.66			2344.77	1834.6	2757.38	2846.65	3207.3	2658.5	2911.02	3252.86
P0AFW2	RMF_ECOLI	rmf	Ribosome modulation factor	4	4	1971.86	2251.85	2426.3	2186.16	1777.04	1656.82	1156.98	1584.37	5588.25	5336.51	6285.88	4762.7	6784.16	5940.81	5796.72	6357.13
P0AFW4	RNK_ECOLI	rnk	Regulator of nucleoside diphosphate kinase	1	1										624.385		557.966	691.167	388.28	700.681	639.071
P0AFX0	HPF_ECOLI	hpf	Ribosome hibernation promoting factor	2	2	4655.06	3030.35	3510.08	3270.13	2878.21	3801.84	3539.06	3711.3	11777.3	12989.9	14443.8	13176.8	11569.5	14683.5	11319.3	13201.3
P0AFY8	SEQA_ECOLI	seqA	Negative modulator of initiation of replication	2	2							516.025		1282.4	1017.69	1089.68	1086.58	1554.32	746.406	1039.15	1018.24
P0AFZ1	SSEB_ECOLI	sseB	Protein SseB	1	1									1245.75	1084.56		1151.37	526.81	1191.37	1028.65	1059.95
P0AG07	RPE_ECOLI	rpe	Ribulose-phosphate 3-epimerase	3	3					988.288				2425.57	2051.98	2118.49	1444.55	1692.75	1971.47	1834.74	1420.85
P0AG27	YIBN_ECOLI	yibN	Uncharacterized protein YibN	1	1									1295.7		1226.88	691.996	1235.37	1034.26	695.064	830.814
P0AG30	RHO_ECOLI	rho	Transcription termination factor Rho	18	18	3195.52	3048.49	2708.72	3173.39	3194.42	3255.12	2633.49	2872.48	9161.34	9120.08	9254.39	8893.5	8967.48	9356.81	8443.01	8713.27
P0AG44	RL17_ECOLI	rplQ	Large ribosomal subunit protein bL17	5	5	9934.43	10256.3	9743.92	10643	10854.3	10820.7	10653.2	12132.7	41247.6	40386.4	43677.2	45119.9	40217.1	45417.4	42263.1	42531.1
P0AG48	RL21_ECOLI	rplU	Large ribosomal subunit protein bL21	2	2	7395.69	6205.61	7783.44	7618.43	6292.47	6675.38	8080.94	7254.61	29006	28326.3	28317.7	29407.8	28362	28767.9	27151.6	25790.3
P0AG51	RL30_ECOLI	rpmD	Large ribosomal subunit protein uL30	4	4	7371.33	8249.81	7231.61	9241.15	7441.12	8385.34	7375.62	8039.15	26947.3	29103.9	37408.2	28563.4	29977.3	28521.3	32576.6	33070.8
P0AG55	RL6_ECOLI	rplF	Large ribosomal subunit protein uL6	10	10	14677.6	14911.5	13514.2	15131.8	14257.2	14372.8	14661.8	14349.5	53057.3	49086.3	52575.3	51811.7	52785.9	50641.6	51236.9	50478.8
P0AG59	RS14_ECOLI	rpsN	Small ribosomal subunit protein uS14	2	2	10224	9418.6	9586.43	10102.7	9793.09	10727.9	10932.7	8883.54	38152.4	34680.7	35546.5	36049.9	29844.1	34394.5	33990.2	36756.5
P0AG63	RS17_ECOLI	rpsQ	Small ribosomal subunit protein uS17	2	2	10107.8	8929.65	10450.6	8913.61	9219.13	10681.5	9312.96	8578.06	33601.8	31726	30686.7	32230.6	27885.2	35958.5	31440.5	27705.6
P0AG67	RS1_ECOLI	rpsA	Small ribosomal subunit protein bS1	26	26	7667.46	8417.19	7587.07	8073.94	8174.01	8383.82	7983.15	8091.44	23377	24114.1	24050.8	22012	23113.3	24258.4	22523.7	23136.1
P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	2	2	742.447		353.24	387.182					2090.74	1105.36	885.12	857.639	1400.09	1031.81	1498.48	1060.96
P0AG86	SECB_ECOLI	secB	Protein-export protein SecB	2	2		942.08	1086.57	847.483		1069.76		915.108	2307.78	2610.01	2367.8	2196.98	2966.78	2280.98	2694.45	2089.61
P0AG90	SECD_ECOLI	secD	Protein translocase subunit SecD	1	1										1055.49	1216.08					1248.23
P0AGD1	SODC_ECOLI	sodC	Superoxide dismutase [Cu-Zn]	5	5	3350.34	3181.85	3281.32		3017.92	1211.32	2931.34	3497.52	7437.15	7600.97	8893.57	7691.43	7211.09	6916.82	7225.37	7504.48
P0AGD3	SODF_ECOLI	sodB	Superoxide dismutase [Fe]	6	6	25684.5	22626	25036	23449.6	26229.5	26751.9	21388.9	22171.3	88036.5	81412.2	75498	76063.6	79182.4	81157.4	78081.4	79059.8
P0AGD7	SRP54_ECOLI	ffh	Signal recognition particle protein	3	3		1310.77	713.579					1083.61	1786.72	1825.36	1688.63	1315.4	1542.82	2077.09	1628.03	1665.24
P0AGE0	SSB_ECOLI	ssb	Single-stranded DNA-binding protein	5	5	2279.4	2372.02	1906.96	1867.97	2103.1	2399.67	2219.26	2256.81	6061.52	5208.61	5861.2	5434.41	5889.04	5936.99	5965.83	4723.12
P0AGE9	SUCD_ECOLI	sucD	Succinate--CoA ligase [ADP-forming] subunit alpha	12	10	6753.28	8061.7	8360.96	7698.27	8541.39	8852.34	7750.41	7192.43	27493	27225	26863.2	27640.6	27683.8	26880.7	27280.9	25670.4
P0AGG4	THIO2_ECOLI	trxC	Thioredoxin 2	1	1															760.62	
P0AGJ5	YFIF_ECOLI	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	1	1										890.016	471.768	575.766				930.316
P0AGJ9	SYY_ECOLI	tyrS	Tyrosine--tRNA ligase	1	1									771.21		1373.63		1060.77	1067.24	921.867	
P0AGK4	YHBY_ECOLI	yhbY	RNA-binding protein YhbY	3	3	1734.76	1418.51	1571.32	1771.22	1756.48	1767.85	1767.88	1354.69	5883.14	5326	5720.89	4967.02	4988.11	4046.72	5711.63	5074.86
P0AGL2	TDCF_ECOLI	tdcF	Putative reactive intermediate deaminase TdcF	1	1	1738.36			1652.05	1636.47	1356.39	1955.8	1691.13	6534.69	5570.14	5397.16	5026.76	5854.97	5500.24	5358.3	4810.24
P0C018	RL18_ECOLI	rplR	Large ribosomal subunit protein uL18	4	4	8101.65	7806	7435.86	8189.96	9657.57	7655.54	8859.32	7663.51	25307	26277.1	24897.1	24414.5	24582.1	23306.3	25167.5	25402.5
P0C037	PPNP_ECOLI	ppnP	Pyrimidine/purine nucleoside phosphorylase	2	2	582.443	804.666		588.944			566.191	806.85	2688.95	2461.02	2711.82	2455.34	3123.52	2507.67	2637	2544.49
P0C0L2	OSMC_ECOLI	osmC	Peroxiredoxin OsmC	5	5	4543.31	3596.82	4227.94	3924.9	3540.73	4610.56	4331.31	4463.72	12788	14156	14929	11982.9	15168.2	13614	12285.8	14077.4
P0C0S5;Q71UI9	H2AV_HUMAN;H2AZ_HUMAN	H2AZ1;H2AZ2	Histone H2A.Z	3	0	15878.2	15768.5	15479.8	15010.8	16731.7	17972.8	15895.9	17887.8	14919.6	18031.3	14204.5	15842.4	15956.2	15652	17669.7	16560
P0C0T4	RS25B_YEAST	RPS25B	Small ribosomal subunit protein eS25B	4	1	20271.2	21009.8	21522.7	21767	23493.4	22207.2	19418.4	22924.7	8451.73	8239.7	10349	8127.84	8804.32	8338.12	9689.6	9343.87
P0C0V0	DEGP_ECOLI	degP	Periplasmic serine endoprotease DegP	8	8	1309.5	1250.47	534.702	811.935	1216.6	1754.11	1295.65	1481.91	2857.19	3092.68	2872.83	2299.31	2460.58	3706.74	2576.86	2628.35
P0C0W1;Q3E7Y3	RS22A_YEAST;RS22B_YEAST	RPS22A;RPS22B	Small ribosomal subunit protein uS8A	4	0	6563.21	5969.35	5113.06	5972.38	5593.84	6938.78	6755.36	6667.92	2889.03	3038.39	3330.79	3401.42	3317.33	3927.74	3056.21	3582.93
P0C0W9;Q3E757	RL11A_YEAST;RL11B_YEAST	RPL11A;RPL11B	Large ribosomal subunit protein uL5A	9	0	20177.5	18855.1	17567.9	19274.5	18595	17476.6	17489.1	18429.8	8290.16	8623.51	9498.38	8964.07	8281.66	9927.67	8352.93	8841.88
P0C0X0;Q3E7X9	RS28A_YEAST;RS28B_YEAST	RPS28A;RPS28B	Small ribosomal subunit protein eS28B	1	0	1084.68	683.806	580.993	635.653		1019.47	1505.15	1217.36								
P0C2H6;P0C2H7	RL27A_YEAST;RL27B_YEAST	RPL27A;RPL27B	Large ribosomal subunit protein eL27A	3	0	6975.2	7434.84	7213.45	9540.9	7844.16	7573.01	5425.38	7277.19	5094.14	4527.56	4885.38	4251.76	3957.84	4626.26	3615.98	3863.21
P0C2H8	RL31A_YEAST	RPL31A	Large ribosomal subunit protein eL31A	4	1	17517.5	20858.8	18202.6	20299	18724.5	20518.9	19493.3	19007.1	8278.31	9130.55	9130.51	8195.21	9748.97	8541.73	9142.17	9571.24
P0C2H9	RL31B_YEAST	RPL31B	Large ribosomal subunit protein eL31B	1	1	1121.13	1978.89	774.377	1447.67	1680.5	1442.47	1332.86	1361.07	659.574	1029.31	886.577	863.159	885.063		991.164	755.746
P0C7M4;Q9BQY4	RHF2B_HUMAN;RHXF2_HUMAN	RHOXF2;RHOXF2B	Rhox homeobox family member 2B	1	0	2050.92	3684.29			2375.04	1529.57	2057.44	2188.57		2758.13	2645.28		3510.57		2714.78	
P0C7P4;P47985	UCRIL_HUMAN;UCRI_HUMAN	UQCRFS1;UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1	6	0	3594.89	4512.42	3547.56	3989.88	3861.84	4312.18	3909.04	3876.41	3693.37	3299.11	3834.58	3873.46	3911.55	3449.1	3181.79	3639.2
P0C8J6	GATY_ECOLI	gatY	D-tagatose-1,6-bisphosphate aldolase subunit GatY	4	4									4239.73	3735.78	4626.08	4942.44	5404.2	4419.86	4350.25	4332.48
P0C8J8	GATZ_ECOLI	gatZ	D-tagatose-1,6-bisphosphate aldolase subunit GatZ	3	3	687.782	668.368	998.336	643.307	640.087	635.674	757.09	934.791	2009.91	929.947	2477.85	2207.4	1970.82	1688.03	1733.2	1636.16
P0CB39	EPTC_ECOLI	eptC	Phosphoethanolamine transferase EptC	1	1												846.409				1461.89
P0CE47;P0CE48	EFTU1_ECOLI;EFTU2_ECOLI	tufA;tufB	Elongation factor Tu 1	21	0	35429.4	35355.1	34688.1	34864.1	37202.6	34335.4	34565.2	36354	124427	122810	127119	116382	126363	125698	117846	114146
P0CG12	DERPC_HUMAN	DERPC	Decreased expression in renal and prostate cancer protein	1	1	1374.77	1663.27	1594.7	1766.02	1963.72				2345.56	1731.8	1734.71	1761.93		1518.86	1392.43	1472.32
P0CG19	RNPH_ECOLI	rph	Truncated inactive ribonuclease PH	2	2									625.507	948.84	924.495	896.97	779.639	1138.29		1202.26
P0CG38	POTEI_HUMAN	POTEI	POTE ankyrin domain family member I	1	1	2602.93	2284.94	2763.28		2035.57	3144.75	3470.91	2872.95		4928.19	4727.04		5619.69	5201.15	3314.93	4542.08
P0CS90	HSP77_YEAST	SSC1	Import motor subunit, mitochondrial	26	20	14032.1	13625.6	12835.1	13347.4	14858.4	13942.8	13694.3	13712.8	6506.36	6540.08	6427	6763.88	6893.17	6561.78	6486.16	6339
P0CT04	IPB2_YEAST	PBI2	Protease B inhibitor 2	3	3	3270.45	3016.85	4450.62	3282.35	4084.71	4231.62	4211.73	4041.99	2398.4	1807.83	2012.11	1084	3037.73	1935.86	2404.84	2781.06
P0CX23;P0CX24	RL20A_YEAST;RL20B_YEAST	RPL20A;RPL20B	Large ribosomal subunit protein eL20A	8	0	6965	6861.2	6499.32	6468.67	5831.29	5985.59	6367.16	6813.78	3823.55	3718.34	3735.11	3270.44	3379.9	3079.24	3908.46	2832.42
P0CX25;P0CX26	RL43A_YEAST;RL43B_YEAST	RPL43A;RPL43B	Large ribosomal subunit protein eL43A	4	0	1224.7	622.552	948.836	1131.81	1281.54	823.039	1172.01	1316.71	945.659	580.395	805.695	702.849	634.192	568.248	774.153	590.443
P0CX27;P0CX28	RL44A_YEAST;RL44B_YEAST	RPL42A;RPL42B	Large ribosomal subunit protein eL42A	2	0	8980.89	10476.4	11969.6	10699.4	10880.8	10787.8	11601.7	9505.04	3799.92	3515.92	5888.42	5713.58	4877.66	5241.96	4672.86	5855.25
P0CX29;P0CX30	RS23A_YEAST;RS23B_YEAST	RPS23A;RPS23B	Small ribosomal subunit protein uS12A	3	0	19799.7	21474.5	17854.9	19611.4	19233.6	22477	17622.7	18112.3	8345.19	7200.01	8875.4	9378.92	9079.92	10608.2	10565.9	8820.59
P0CX31;P0CX32	RS24A_YEAST;RS24B_YEAST	RPS24A;RPS24B	Small ribosomal subunit protein eS24A	5	0	11780.4	10894.5	10725.4	10563.4	14274.4	12380.4	11391.1	12464.2	4930.22	5800.6	5399.01	4333.4	4748.28	5151.03	6108.6	5349.24
P0CX33;P0CX34	RS30A_YEAST;RS30B_YEAST	RPS30A;RPS30B	Small ribosomal subunit protein eS30A	2	0	7319.39	6405.98	6118.46	7675.84	7113.69	5811.65	6182.63	7961.62	3365.49	2824.55	3099.63	4410.27	3592.68	2960.91	4525.91	3046.44
P0CX35;P0CX36	RS4A_YEAST;RS4B_YEAST	RPS4A;RPS4B	Small ribosomal subunit protein eS4A	11	0	19183.8	20861.3	19681.1	17953.2	20629	20089.4	17898.5	19457.1	8962.45	8813.03	9720.32	8856.21	9152.23	8222.62	9419.16	8676.98
P0CX37;P0CX38	RS6A_YEAST;RS6B_YEAST	RPS6A;RPS6B	Small ribosomal subunit protein eS6A	9	0	14182.4	14233.1	14020.1	13329.4	14309.4	15221.1	13738.5	14251.8	7183.39	7116.36	6759.79	6368.04	6737.19	7142.79	7091.48	6916.41
P0CX39;P0CX40	RS8A_YEAST;RS8B_YEAST	RPS8A;RPS8B	Small ribosomal subunit protein eS8A	5	0	3679.81	4763.84	3681.28	3627.55	3737.36	4100.19	3975.34	4636.35	2259.44	2800.25	2285.82	2412.89	2563.24	2484.81	2070.77	2468.47
