Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-A2_1_12107.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-B2_1_12108.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-C2_1_12109.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-D2_1_12110.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-E2_1_12111.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-F2_1_12112.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-G2_1_12113.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-H2_1_12114.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-A6_1_12115.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-B6_1_12116.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-C6_1_12117.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-D6_1_12118.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-E6_1_12119.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-F6_1_12120.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-G6_1_12121.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-H6_1_12122.d
P0C0X0;Q3E7X9	RS28A_YEAST;RS28B_YEAST	RPS28A;RPS28B	Small ribosomal subunit protein eS28B	3	0	18081.1	14594.2	19385.6	20915.8	19492.4	19753.5	18310.5	22068.7	9454.97	8959.62	9994.95	8975.77	8525	9940.74	8148.26	11250.5
P0C2H6	RL27A_YEAST	RPL27A	Large ribosomal subunit protein eL27A	10	1	179110	171628	138087	177180	151515	172070	184701	173151	84875.3	86031.3	82088.8	89572.6	101248	90998.6	87552.1	91877.6
P0C2H8	RL31A_YEAST	RPL31A	Large ribosomal subunit protein eL31A	10	2	306072	322620	312737	297290	317694	330266	322708	338495	153306	159578	166737	157227	162115	161900	155365	151503
P0C2H9	RL31B_YEAST	RPL31B	Large ribosomal subunit protein eL31B	2	2	33787.8	38550.8	30010.7	32238.2	31841.7	31553.4	33541	38789.9	18328.7	19255.2	16071.1	18873.3	18568.3	18520.6	16715.4	18282.7
P0C2I2;P0C2J0;Q04670;Q92393;O13535;P0C2J1;P47100;Q03619;Q04711;Q12088;Q12141;Q12193;Q12316;P0C2I3;P0C2I5;P0C2I6;Q03434;Q03612;Q03855;Q07793;Q12269;Q12414;P0C2I9;P47098;Q99337	YB12B_YEAST;YD11B_YEAST;YD13B_YEAST;YD14B_YEAST;YD15B_YEAST;YE11B_YEAST;YE12B_YEAST;YG11B_YEAST;YG12B_YEAST;YG13B_YEAST;YH11B_YEAST;YJ11B_YEAST;YJ12B_YEAST;YL11B_YEAST;YL12B_YEAST;YL13B_YEAST;YM11B_YEAST;YM12B_YEAST;YM14B_YEAST;YN12B_YEAST;YO12B_YEAST;YP11B_YEAST;YP12B_YEAST;YP13B_YEAST;YP14B_YEAST	TY1B-BR;TY1B-DR1;TY1B-DR4;TY1B-DR5;TY1B-DR6;TY1B-ER1;TY1B-ER2;TY1B-GR1;TY1B-GR2;TY1B-GR3;TY1B-H;TY1B-JR1;TY1B-JR2;TY1B-LR1;TY1B-LR2;TY1B-LR3;TY1B-ML1;TY1B-ML2;TY1B-MR2;TY1B-NL2;TY1B-OR;TY1B-PL;TY1B-PR1;TY1B-PR2;TY1B-PR3	Transposon Ty1-H Gag-Pol polyprotein	9	0	94658	99561.5	108755	98994.2	109404	103434	109209	107608	50094.5	46331.9	48641.7	46890.1	49461	44718	48992.2	50628.8
P0C2I4;P0CX59;P0CX60;P0CX65;P0CX66;P0CX67;P0CX68;P0CX69;Q12217;O74302;P0CX57;P0CX58;P47099;Q04706;Q12470	YA11A_YEAST;YB12A_YEAST;YD13A_YEAST;YD14A_YEAST;YE12A_YEAST;YG13A_YEAST;YH11A_YEAST;YJ12A_YEAST;YL11A_YEAST;YM11A_YEAST;YM14A_YEAST;YN12A_YEAST;YO12A_YEAST;YP12A_YEAST;YP13A_YEAST	TY1A-A;TY1A-BR;TY1A-DR4;TY1A-DR5;TY1A-ER2;TY1A-GR3;TY1A-H;TY1A-JR2;TY1A-LR1;TY1A-ML1;TY1A-MR2;TY1A-NL2;TY1A-OR;TY1A-PR1;TY1A-PR2	Transposon Ty1-DR4 Gag polyprotein	1	0		9676.29	6889.17	10217.5	9301.27	8585.11	11623.4	7644.69	5700.82							
P0C7M4;Q9BQY4	RHF2B_HUMAN;RHXF2_HUMAN	RHOXF2;RHOXF2B	Rhox homeobox family member 2B	2	0	10410.6	11542.2	10498.3	10806.4	9651.41	10593.9	10990.4	13052	11227.2	7939.12	13300.8	8932.23	11350.4	10934.1	12750.8	11811.9
P0C7V7;P67812	SC11A_HUMAN;SC11B_HUMAN	SEC11A;SEC11B	Putative signal peptidase complex catalytic subunit SEC11B	1	0	7049.51	4810.54		2567.69		7225.15	4091.81	6524.38	3804.81	4042.64	5500.64	4837.84	6949.05	5041.54	5284.81	8819.39
P0CAP2	GRL1A_HUMAN	POLR2M	DNA-directed RNA polymerase II subunit GRINL1A	2	2	11077.5		7460.28	10302	5202.49	6513.51	6968.93	5545.88		7511.02	10005.5	9891.83		10283.2	8116.56	5733.66
P0CG12	DERPC_HUMAN	DERPC	Decreased expression in renal and prostate cancer protein	5	5	20102.8	15803.4	15949.1	17880	15693	17943.3	17829.4	17777.3	14425.2	16064.9	15163.1	15902.6	15818.6	15667	19720.4	16585.9
P0CG38	POTEI_HUMAN	POTEI	POTE ankyrin domain family member I	1	1	15717.7	14785.6	16700.4	25945.8	5124.75		20420.9	16913.8	13308.4	20277.3	19612.1	16264.8	22604.6	17156	23733.3	17444.9
P0CS90	HSP77_YEAST	SSC1	Import motor subunit, mitochondrial	33	26	265595	264138	282175	265599	278952	271203	271275	277919	122002	114730	118125	115857	118609	115394	116287	122914
P0CT04	IPB2_YEAST	PBI2	Protease B inhibitor 2	7	7	79900.8	79813.3	82194.3	80861	86287.5	79666.9	79646.1	86317.6	37276.8	38839.5	40165.4	38028.2	36559.5	40045.8	35855.5	36096.3
P0CX23;P0CX24	RL20A_YEAST;RL20B_YEAST	RPL20A;RPL20B	Large ribosomal subunit protein eL20A	11	0	88810	88710.5	84613.8	98901.8	88411	96576.2	90556.2	92650.6	43863.9	44782.2	47127.2	45561.6	46242.2	42474.5	44661.7	45119.8
P0CX25;P0CX26	RL43A_YEAST;RL43B_YEAST	RPL43A;RPL43B	Large ribosomal subunit protein eL43A	5	0	16191.8	17389.6	17438.9	15901.1	16803.9	19566.7	17949.5	18095.7	8997.92	8330.35	8487.48	8611.67	8049.65	7821.31	7916.2	7696.28
P0CX27;P0CX28	RL44A_YEAST;RL44B_YEAST	RPL42A;RPL42B	Large ribosomal subunit protein eL42A	4	0	158703	163296	160141	147135	161422	147364	134681	133369	69304.1	70291.2	73993.6	66802.3	57267.4	64836.5	68881.1	72277.9
P0CX29;P0CX30	RS23A_YEAST;RS23B_YEAST	RPS23A;RPS23B	Small ribosomal subunit protein uS12A	6	0	327630	345704	318267	311209	328483	299426	312902	313163	157379	154263	137272	160405	147809	148922	150979	146674
P0CX31;P0CX32	RS24A_YEAST;RS24B_YEAST	RPS24A;RPS24B	Small ribosomal subunit protein eS24A	9	0	144474	133986	148025	158369	151195	160006	153438	143653	61564.9	66522.5	63651.4	66130.3	67833.7	62600.2	66524.6	70473.4
P0CX33;P0CX34	RS30A_YEAST;RS30B_YEAST	RPS30A;RPS30B	Small ribosomal subunit protein eS30A	2	0	94193.9	93557.2	101902	99830.1	98174.4	88743.2	99997.2	94522.2	44863.1	45566.5	46355.4	44849	50784.7	51662.3	46666.5	52095.7
P0CX35;P0CX36	RS4A_YEAST;RS4B_YEAST	RPS4A;RPS4B	Small ribosomal subunit protein eS4A	22	0	228686	200296	229244	248110	240066	233484	240906	230542	105820	105543	105413	106834	113104	106035	111656	114051
P0CX37;P0CX38	RS6A_YEAST;RS6B_YEAST	RPS6A;RPS6B	Small ribosomal subunit protein eS6A	15	0	224643	207484	219182	217564	216390	210872	217854	206866	99365.8	94256.1	93297	95231.2	94932.4	99271.9	97061.9	98449.2
P0CX39;P0CX40	RS8A_YEAST;RS8B_YEAST	RPS8A;RPS8B	Small ribosomal subunit protein eS8A	8	0	142766	134014	148104	151800	144974	158392	156423	154691	76598.1	74471.7	75274.2	76561.2	77752.2	73000.5	77260.8	77786.8
P0CX41;P0CX42	RL23A_YEAST;RL23B_YEAST	RPL23A;RPL23B	Large ribosomal subunit protein uL14A	4	0	179794	155392	148585	156652	161990	177426	180511	166437	79276.2	80530.8	82596.2	78516.1	81935.9	82293	84247.7	89762.6
P0CX43;P0CX44	RL1A_YEAST;RL1B_YEAST	RPL1A;RPL1B	Large ribosomal subunit protein uL1A	14	0	113931	111518	104296	109221	107841	109371	113983	123228	48756.2	51226.5	50981.9	51798.6	54416.8	51972.3	54802.8	49560.8
P0CX45;P0CX46	RL2A_YEAST;RL2B_YEAST	RPL2A;RPL2B	Large ribosomal subunit protein uL2A	13	0	156688	146961	169709	172094	166382	163735	164580	168714	77964.2	77034.5	74485.2	76202.4	84284.4	74095.8	81235.4	77736.2
P0CX47;P0CX48	RS11A_YEAST;RS11B_YEAST	RPS11A;RPS11B	Small ribosomal subunit protein uS17A	12	0	333192	327616	329711	334156	328976	306190	319435	318974	146918	139489	145653	146027	143904	140750	143165	142475
P0CX49;P0CX50	RL18A_YEAST;RL18B_YEAST	RPL18A;RPL18B	Large ribosomal subunit protein eL18A	10	0	184726	180806	196223	210215	192516	200335	192607	189649	82270.6	84437	81132.7	89587.4	90676.3	83442.9	87289.4	93266.9
P0CX51;P0CX52	RS16A_YEAST;RS16B_YEAST	RPS16A;RPS16B	Small ribosomal subunit protein uS9A	14	0	155854	156169	145648	151981	154927	145692	152960	154137	71010	71236.9	67762.5	68953	66220.3	70202.1	72295.8	72748.5
P0CX53;P0CX54	RL12A_YEAST;RL12B_YEAST	RPL12A;RPL12B	Large ribosomal subunit protein uL11A	6	0	72855.8	72387.8	81426.5	80958.3	83107.8	84751.7	87554.6	85854.4	37924.4	38771.9	33546.7	31688.7	39312.4	38655	40163.3	41736.3
P0CX55;P0CX56	RS18A_YEAST;RS18B_YEAST	RPS18A;RPS18B	Small ribosomal subunit protein uS13A	9	0	205196	184445	198596	192514	198891	199924	213628	211196	94613.6	92481.2	92877.4	94081	94223.6	91326.5	97781.7	98397.5
P0CX82;P0CX83	RL19A_YEAST;RL19B_YEAST	RPL19A;RPL19B	Large ribosomal subunit protein eL19A	10	0	252753	242889	251165	283870	253642	277887	281071	275472	125054	127743	127746	122714	128236	117747	125508	135316
P0CX84;P0CX85	RL35A_YEAST;RL35B_YEAST	RPL35A;RPL35B	Large ribosomal subunit protein uL29A	10	0	328851	319519	347391	325055	336983	322628	311888	322337	145118	146868	141280	141110	137390	140839	132546	134036
P0DJ07	PT100_HUMAN	PET100	Protein PET100 homolog, mitochondrial	1	1	20670.1	16586.4	15340.8	16764	13670	17130.1	14291.1	14548.8	12386.5	14314	17696.4	16580.2	19339.3	15235.8	18043	15181.6
P0DMM9;P0DMN0;P50225	ST1A1_HUMAN;ST1A3_HUMAN;ST1A4_HUMAN	SULT1A1;SULT1A3;SULT1A4	Sulfotransferase 1A3	4	0	10924.3	7427.93	8715.42	9610.84	8665.61	8964.5	8760.43	8042.59	9511.78	9274.41	8980.1	7841.39	9473.34	8915.12	8622.77	6937.79
P0DMU9;P0DMV1;P0DMV2;Q5DJT8	CT452_HUMAN;CT458_HUMAN;CT459_HUMAN;CT45A_HUMAN	CT45A10;CT45A2;CT45A8;CT45A9	Cancer/testis antigen family 45 member A10	7	0	26366.8	24634.4	24708.6	23630.2	23610.4	23142.7	23775.8	24519	25899.2	25514	24095.8	27117.7	27623.2	29523.8	26590.1	27558.4
P0DMV8;P0DMV9	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	24	0	651877	662088	676866	662206	680098	683587	697714	700703	690579	684961	687596	684737	700690	667734	700162	702553
P0DP23;P0DP24;P0DP25	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	8	0	517849	543645	483368	496358	501448	523264	511869	559946	559057	521456	531756	533990	523799	546976	532832	497142
P0DPB5	RPC22_HUMAN	POLR1D	Protein POLR1D, isoform 2	2	2		4088.77		4568.95	4650.16	2570.17	4186.18	5308.49	4528.38	4550.4	4964.81	4596.01	3862.29	2710.17	2872.38	4188.07
P0DPB6	RPAC2_HUMAN	POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2	3	3	18325.3	14378.4	16279.5	17535.5	18077.9	20813.5	16717	17933	16174.8	17589.9	17161.5	18487.7	15024.1	13853.8	14922	18404.7
P0DW28	MNS60_HUMAN	RBM10	Ribosome biogenesis inhibitor MINAS-60	1	1												3137.22			1975.05	
P10080	SSBP1_YEAST	SBP1	Single-stranded nucleic acid-binding protein	6	6	91478.7	92932.3	86106.7	84309.2	89627.5	96719.5	103184	92618	42667.3	43579.5	39538	46679.6	45477.6	44444.5	46022.1	48755.7
P10081	IF4A_YEAST	TIF1	ATP-dependent RNA helicase eIF4A	15	14	110212	116279	111241	114804	113443	117790	116997	114335	54114.7	53984.4	51118.5	56261.4	58245.1	54108.6	54611.4	59027.3
P10109	ADX_HUMAN	FDX1	Adrenodoxin, mitochondrial	2	2			11792.6	8565.54	10778.3		8250.64					7476.52	13699.7	7154.57	10006.7	6958.58
P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	11	11	22887.5	21113.6	20756.1	20877.3	21168.3	20027.3	20318.1	20441.4	20322.5	20468	22316.1	21551.4	20356.1	22429.9	21283.3	20308
P10398	ARAF_HUMAN	ARAF	Serine/threonine-protein kinase A-Raf	6	3	8134.51	8872.09	8195.45	9453.11	7094.6	7996.33	8499.96	7956.83	9562.67	7285	9605.39	8336.52	7729.85	8676	8032.5	8754.73
P10507	MPPB_YEAST	MAS1	Mitochondrial-processing peptidase subunit beta	1	1	2617.95	3325.32	1959.62	2420.65	1768.23	1349.71	1883.97	3158.63					888.425			
P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	14	14	61855.1	60841.1	59367.3	62661.5	57223.6	60293.6	59596.5	54746.1	60017.1	57351	56470.8	57749	56433.4	59189.3	59233.7	59398.1
P10591	HSP71_YEAST	SSA1	Heat shock protein SSA1	27	7	615072	602728	565969	609756	576589	630251	654001	635984	291594	283486	273986	278278	286976	276955	292238	285265
P10592	HSP72_YEAST	SSA2	Heat shock protein SSA2	6	6	331893	338873	310413	292934	305379	319664	352610	337388	155079	156642	151768	157083	159067	150767	158484	150902
P10599	THIO_HUMAN	TXN	Thioredoxin	8	8	481716	470170	489048	516358	462434	520126	530987	455365	456646	448088	438626	461105	489709	457795	476037	507963
P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	6	6	94850.4	91975.8	89489.5	98567.1	95643	101225	90526.9	88565.2	97684.6	93756.7	91078.2	98009	88885.4	98503.3	100437	98108.3
P10614	CP51_YEAST	ERG11	Lanosterol 14-alpha demethylase CYP51	4	4	7664.91	10226.5	9562.02	7425.66	7294.15	7213.46	8472.76	8579.49	3897.3	3532.66	3872.84	3303.66	3847.41	4110.78	3673.83	3801.49
P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	1	1	10650.5	8911.96	6289.64	10888	11178.5	5599.16	6529.26	6714.36	4029.01	8206.12	4872.04	6114.39	8727.72	8791.7	9867.12	10494.6
P10622	RLA3_YEAST	RPP1B	Large ribosomal subunit protein P1B	1	1	73695.3	129982	77470.3	80404.6	84660.6	131917	129622	132998	52354	55315	54372.1	55476.2	48821.9	53266.1	57195.5	34935.3
P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	8	5	11109.7	13176.7	12396.2	10695.8	13066.8	11805.3	12768.4	12440.1	13794.6	12278.8	12267.9	13226.6	10997	13713.5	11867.6	11620.3
P10659	METK1_YEAST	SAM1	S-adenosylmethionine synthase 1	14	6	95251.7	89616.1	92159.5	91820.3	93258.1	89718.1	89418.6	86664.7	43190.7	39687.5	41195.1	40708.1	40786.8	38960.8	39867.2	44851
P10662	RT01_YEAST	MRP1	Small ribosomal subunit protein mS43	2	2	3395.81	3371.05	3447.87	2953.37	3365.29	3552.68	3099.25	3573.76	2093.63	2601.61	2953.28		1943.49	2334.3		
P10664	RL4A_YEAST	RPL4A	Large ribosomal subunit protein uL4A	12	2	308019	303640	302230	301080	315516	304220	322681	315042	142858	146730	141744	144623	136953	143525	146061	144376
P10746	HEM4_HUMAN	UROS	Uroporphyrinogen-III synthase	6	6	13437.3	11508.4	13138.8	14265.2	11100.2	12731.4	13114.5	11123.8	12712.2	11249.3	11236.8	10936.3	10273.2	11970	12509.4	12769.9
P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	12	12	107208	111819	116372	113604	109683	111605	110213	113567	109968	106394	109523	99827.6	111122	103183	105025	106382
P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	39	38	425835	430270	423800	433784	422010	417058	432602	439227	420234	422966	424552	422451	425415	423084	435294	442171
P10869	AK_YEAST	HOM3	Aspartokinase	1	1	7104.25	4050.01	7648.23	7257.92	4793.75		5554.64	4329.68						3230.35		3176.71
P10963	PCKA_YEAST	PCK1	Phosphoenolpyruvate carboxykinase (ATP)	4	4	5332.75	4123.38	4927.87	3838.65	5101.13	4237.75	3265.21	4699.62	1783.87	1886.86	2377.6	1918.18	1922.25	1385.67	2141	
P10964	RPA1_YEAST	RPA190	DNA-directed RNA polymerase I subunit RPA190	13	13	9890.48	8945.05	10336.6	9664.84	10061.8	9143.62	8301.92	9210.51	5292.74	4751.65	4752.48	4508.78	4644.18	4518.96	4528.64	4852.58
P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	39	34	878907	868762	851972	811375	910767	883436	864409	880975	805331	777816	777686	792538	800384	781507	808924	828689
P11055	MYH3_HUMAN	MYH3	Myosin-3	2	2	4707.87	4583.12	10208.8			5910.35		4925.64								
P11075	SEC7_YEAST	SEC7	Protein transport protein SEC7	8	8	9552.07	9276.96	9872.43	10071.6	9402.99	9440.27	8126.81	9538.91	5140.63	4752.81	5098.93	4285.09	3929.53	5262.17	3681.12	5064.71
P11076	ARF1_YEAST	ARF1	ADP-ribosylation factor 1	5	1	34649.2	37877.7	30720.7	29363.7	30716.8	34540	38815.2	39608.9	19719.7	18894.4	18734.1	22262.5	18186.2	19196.3	20485.8	17449.7
P11142	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	38	25	1.06868e+06	1.06209e+06	1.02554e+06	1.06999e+06	1.06328e+06	1.07634e+06	1.07547e+06	1.05987e+06	1.07715e+06	1.09678e+06	1.0764e+06	1.0755e+06	1.1373e+06	1.06809e+06	1.15077e+06	1.11027e+06
P11154	PYC1_YEAST	PYC1	Pyruvate carboxylase 1	20	5	35242	33875.1	36510.7	35041.2	36902.3	35523.9	33169	34943.1	16732.4	16520.1	15826.4	17221.9	16022.8	16417.9	15101.1	14592.2
P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	3	3	12396.7	10110.1	11569.1	12347.2	10658.8	12373.4	14739.5	12702.7	13747.8	14777.8	15140	14025.1	11919.6	11666.5	13223.4	11284.2
P11169	GTR3_HUMAN	SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3	2	1	4878.88	6626.66	6398.59	6737.54	6909.43	5847.1	5806.94	3911.86	5823.8	5740.92	6002.37	6642.63	6563.38	6681.33	4867.45	6829.81
P11171	EPB41_HUMAN	EPB41	Protein 4.1	25	22	71504.2	69601	71076	69414.7	72311.1	73965.9	69519.2	69422.9	68684.9	70592.1	69052.4	72442.4	74017.3	74031.6	75653.3	74706.9
P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	9	8	12523.5	14492	14112.3	12319.1	13803	12979.2	13073.4	14338.5	14035.7	12599.6	13512.5	12184.8	14141.3	12328.7	13283.9	11925.7
P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	11	11	25454.9	24302.2	23975.5	24878.9	23075.7	24591.2	25667.4	25075.9	24962.4	24467.9	25205.4	23939.4	25015.8	25418.8	25419.9	25061.6
P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	2	2	4679.84	4162.93	3672.71	3999.08	5079.33	3485.45	3503.92	5055.34	3899.99	4550.28	3135.28	3567.94	3992.09	4820.97	5304.51	4187.95
P11216	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	2	1	1292.59								1371.75	1960.2			1823.24	1943.52	1930.82	2667.44
P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	5	3	17827	14941.5	14636.7	14275	14472.3	15634.6	15921.3	16409.2	18493.7	20942.8	17224	16922.8	17189.4	16998	17757.5	17114.3
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	1	1	2372.69	2099.87		3882.15	2353.99	3329.11	2031	3240.82	3297.49	3073.5	2644.58	1872.52	2904.59	3214.01	3023.34	
P11274	BCR_HUMAN	BCR	Breakpoint cluster region protein	5	4	7772.17	9167.7	8989.55	7794.56	9680.24	7926.9	8141.1	8117.58	9172.97	8005.29	9040.68	9067.58	8640.58	10249.2	7998.62	9811.92
P11277	SPTB1_HUMAN	SPTB	Spectrin beta chain, erythrocytic	27	27	16337.5	14418.7	16051.4	14540.5	14347	14455.9	16143.7	13817.6	14486.3	15450.8	15055.1	16625.2	14731.9	13693.5	14560.2	15143
P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	4	4	12066.5	12463.4	13258	12627.3	13708	12346.7	11814.9	11247.4	13084.3	10774.6	11795.7	13228.8	15518.6	12019.5	10874.3	13242.9
P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	15	15	44811.7	42953.2	45667.2	44184	41407.4	45166.2	43794.7	43408.1	42724.4	42472.1	42173.2	42687.1	41026.9	42553.1	42511.6	45380.9
P11353	HEM6_YEAST	HEM13	Oxygen-dependent coproporphyrinogen-III oxidase	1	1	12515.5	15737.9	10648.8	14524.1	14333	12005.3	14326.2	14270.1	5947.14			4506.49				
P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1	27	22	28720.5	26999.3	25373.1	28613.3	26460	27201.4	26614.5	26203.8	28097.2	27582.7	26673.2	26787	28000.4	26858.7	28742.1	28059.8
P11388	TOP2A_HUMAN	TOP2A	DNA topoisomerase 2-alpha	18	11	11645.9	11567.6	12571.6	12854.1	13268.7	12948.8	11441.9	11403.8	10706.5	11274.7	12092.3	11836.1	10021.7	11741.7	11530.1	11791.8
P11412	G6PD_YEAST	ZWF1	Glucose-6-phosphate 1-dehydrogenase	14	14	33765.5	30437.6	30809.3	32313.8	31938.8	29640.4	30893.5	31375.3	17367.8	14347.4	14943.9	13971.1	14892.8	16450.2	14774.1	15798.4
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	29	29	75465.1	72198.9	77972.8	81004.8	73980	74096.1	72877.7	74785.9	73393.8	77508.3	78604.1	75231.8	78282.1	77395.6	75501	78973.8
P11433	CDC24_YEAST	CDC24	Cell division control protein 24	1	1	3055.96	4573.8	3002.47	2244.78	4258.85		3982.52	3722.65		1013.44	1881.58	1634.06				3798.82
P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	10	10	35230.7	36226.6	39430.1	33878.1	38204.4	34083.4	35627.6	38043.2	36349	38072.8	35978.4	39270.7	35414.2	38742	37263.3	36316.1
P11484	SSB1_YEAST	SSB1	Ribosome-associated molecular chaperone SSB1	23	0	304182	301214	310039	301185	304682	293802	286119	305002	135492	135294	135180	132498	128650	133946	135430	131451
P11491	PPB_YEAST	PHO8	Repressible alkaline phosphatase	2	2	11218.6	10308.3	11414.9	9742.93	11990.5	10732.1	9928.25	10153.9		4691.32	5624.48	5837.14			4351.61	5441.38
P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	9	7	54587	41991.4	48023.3	41306.4	47253.9	47659.2	52760.9	45466.3	41304.5	35691	39934.1	36349.2	32956.7	42138.2	40705.1	37033.9
P11509;P20853;Q16696	CP2A6_HUMAN;CP2A7_HUMAN;CP2AD_HUMAN	CYP2A13;CYP2A6;CYP2A7	Cytochrome P450 2A6	1	0				5235.43											3545.42	
P11532	DMD_HUMAN	DMD	Dystrophin	1	1		15487.2	15146.3	23421.9		17663.6	12069.3	12710.5	9343.34	16141.6	12969.3	15963.8	12462	13844.1	15084	
P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	46	46	39722.7	39784.5	38326.7	40363.7	40343.3	38815.2	40454.8	38541	38762.9	38263.8	36910.2	35721.4	39221.4	37630.5	38083.3	39739
P11632	NHP6A_YEAST	NHP6A	Non-histone chromosomal protein 6A	3	3	38477.1	40503.8	36928.9	34708.3	33899.6	28826.2	37851.1	34491.2	15067.7	14600.5	13080.6	14690	15154.8	15531	13155.3	15026
P11633	NHP6B_YEAST	NHP6B	Non-histone chromosomal protein 6B	2	2	23576.1	18651.3	19768.4	18769.7	17600.1	17999.6	19852.9	17962.1	12605.3	10126.9	14601.8		10367.6	12800.1	10354	10939.1
P11655	SEC12_YEAST	SEC12	Guanine nucleotide-exchange factor SEC12	1	1	5436.01	4742.51	5862.87	7370.7	5556.35	6662.65	5689.37	7513.42		1998.72	3003.02		2781.49	1947.64	3673.08	3317.49
P11709	BIK1_YEAST	BIK1	Nuclear fusion protein BIK1	1	1			80473.7	43986.3	85829.9											
P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	34	34	12987.5	11784.2	13260.3	12124	11707.3	12366.1	11611.7	11730	11953.7	11971.5	12019.6	11876.5	11355.8	11963.2	12138	11652.1
P11745	RNA1_YEAST	RNA1	Ran GTPase-activating protein 1	9	9	18832.3	18472.1	19472.2	17664.1	17647.2	17403.7	17354.7	17709.8	8259.11	8809.39	8237.55	9547.06	7055.05	7488.12	7531.72	7090
P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	16	16	81806.4	84735.8	76165.7	73872.7	73713	81397.5	86079	82646.8	93060.4	91609.2	87982.1	87699.6	86395	95862.5	85207.7	88264.9
P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	1	1		4128.68	4152.06	6475.3	5176.27	7742.89	7059.03	4405.8	5461.12	3371.54	6717.23	5271.45	7304.53		6440.25	6775.53
